Country	Tons	Change %	From energy processes	Agricultural	ID
Luxembourg	473	19.1	17.4	62.7	Q32
North Macedonia	526	-36.1	8.8	69.8	Q221
Madagascar	8198	-9.8	4	87.3	Q1019
Malawi	3127	12	4.9	85.4	Q1020
Malaysia	15310	9.5	6.4	68.8	Q833
Maldives	27	366.1	12.5	8.3	Q826
Mali	10892	88.6	1.3	82.4	Q912
Malta	61	-17.6	8.4	47.8	Q233
Marshall Islands	0	22.8	0	0	Q709
Mauritania	2348	57.5	2.8	92.3	Q1025
Mauritius	170	5.6	8.9	60.4	Q1027
Mexico	43436	-2.9	8.5	74.1	Q96
Micronesia, Fed. Sts.	11	71.7	0.2	98.2	Q702
Moldova	686	-60.9	8.2	71.6	Q217
Mongolia	3548	-31.1	3.1	93.5	Q711
Morocco	6007	5.4	8.6	78.5	Q1028
Mozambique	2261	-78.7	15.2	52.1	Q1029
Myanmar	26783	-39.6	3.4	53.4	Q836
Namibia	3042	19.4	4.2	93.7	Q1030
Nepal	4598	28	13.3	76.4	Q837
Netherlands	8924	-50.2	8.1	60.5	Q55
New Caledonia	98	-5.9	5.7	75.9	Q33788
New Zealand	11880	13	2.3	95.1	Q664
Nicaragua	3491	12.8	3.2	87.4	Q811
Niger	2195	20	10.4	78.6	Q1032
Nigeria	36185	85.7	5.2	80.4	Q1033
Northern Mariana Islands	0	-62.1	0	0	Q16644
Norway	3305	-40.1	8	47	Q20
Oman	1146	195.3	13.3	58.5	Q842
Pakistan	30651	66.2	12.6	75.3	Q843
Palau	0	9.9	0	0	Q695
Panama	1408	37.6	5.4	78.9	Q804
Papua New Guinea	1234	-36	9.4	19.6	Q691
Paraguay	9363	4.4	2.5	87.5	Q733
Peru	8478	51.1	3	84.6	Q419
Philippines	12762	29.1	6.1	76.4	Q928
Poland	26722	-8.6	13.7	59.4	Q36
Portugal	4011	-18.9	11	55	Q45
Puerto Rico	220	-33.2	0.1	96	Q1183
Qatar	339	-74.7	28.1	19.6	Q846
Romania	8218	-62.9	5.4	59.7	Q218
Russian Federation	65194	-59.4	11.5	49.6	Q159
Rwanda	1704	137.5	10.1	79.7	Q1037
Samoa	40	17.1	6.4	82.7	Q683
Sao Tome and Principe	10	56.3	14.3	50.8	Q1039
Saudi Arabia	6517	1.8	14.9	45.4	Q851
Senegal	6562	121.1	2.5	87.9	Q1041
Serbia	7445	-100	0	0	Q403
Seychelles	23	72.5	21.6	22.4	Q1042
Sierra Leone	1605	34.7	3.3	79.9	Q1044
Singapore	1909	111.2	4.7	1.8	Q334
Slovak Republic	2778	-46.9	12.2	37.4	Q214
Slovenia	1166	-8.1	12.1	72.3	Q215
Solomon Islands	2656	-27.6	0.2	99.3	Q685
Somalia	4923	22.9	5.1	90.8	Q1045
South Africa	21149	-7.6	11.9	63.8	Q258
Spain	20873	-20.3	11.1	65.5	Q29
Sri Lanka	2174	23.6	13.1	64.5	Q854
St. Kitts and Nevis	15	90.2	8.8	63.6	Q763
St. Lucia	35	13.5	10.5	48.7	Q760
St. Vincent and the Grenadines	18	3.1	12.6	47.9	Q757
Sudan	84959	136.1	0.7	90.7	Q1049
Suriname	273	-39.5	3.5	52.2	Q730
Eswatini	569	4.7	4.3	91	Q1050
Sweden	5222	-25.4	19	59.8	Q34
Switzerland	2385	-17.1	15.8	58	Q39
Syrian Arab Republic	6001	41.9	4	80.5	Q858
Tajikistan	1848	22.9	1.3	87.7	Q863
Tanzania	13206	-37.5	5.1	82.6	Q924
Thailand	30833	67.5	13.5	69.8	Q869
Timor-Leste	226	102.2	1.1	88	Q574
Togo	3049	39.9	3.8	66.7	Q945
Tonga	22	14.8	3.3	95.8	Q678
Trinidad and Tobago	281	-51.5	12.1	50.4	Q754
Tunisia	2963	27.4	8.6	68	Q948
Turkey	35612	24.6	10.5	69.9	Q43
Turkmenistan	4924	115.4	1.8	75.8	Q874
Turks and Caicos Islands	1	648.2	60.7	0	Q18221
Tuvalu	1	44.9	0	98.5	Q672
Uganda	14932	86.7	4.6	86.1	Q1036
Ukraine	22549	-57.8	5.7	41.7	Q212
United Arab Emirates	2413	129.2	14.9	35.9	Q878
United Kingdom	25335	-55.4	8.9	60.9	Q145
United States	288878	-12.9	21.7	57.6	Q30
Uruguay	8105	33.9	1.8	96	Q77
Uzbekistan	13192	17.9	3.7	85.5	Q265
Vanuatu	109	13.9	1	95.7	Q686
Venezuela, RB	16136	28.7	4.3	72.4	Q717
Vietnam	34494	197	6.7	83.8	Q881
Virgin Islands (U.S.)	13	37.2	0	93.1	Q11703
Yemen, Rep.	3672	77.4	13.7	71	Q805
Zambia	8395	-76	2.7	65.6	Q953
Zimbabwe	4271	-38.1	5.3	89.7	Q954
