Country	latitude	longitude	ID
Ecuador	-1.8312389999999998	-78.183406	Q736
Estonia	58.595271999999994	25.013607	Q191
Egypt	26.820553000000004	30.802497999999996	Q79
Western Sahara	24.215526999999998	-12.885834	Q6250
Eritrea	15.179383999999999	39.782334000000006	Q986
Spain	40.463667	-3.7492199999999998	Q29
Ethiopia	9.145	40.489672999999996	Q115
Finland	6.192411	25.748151	Q33
Fiji	-16.578193	179.414413	Q712
Falkland Islands [Islas Malvinas]	-51.796253	-59.523613	Q9648
Micronesia	7.425553999999999	150.550812	Q702
Faroe Islands	61.892635	-6.9118059999999995	Q4628
France	46.227638	2.213749	Q142
Gabon	-0.803689	11.609444	Q1000
United Kingdom	55.378051	-3.435973	Q145
Grenada	12.262775999999999	-61.604170999999994	Q769
Georgia	42.315407	43.356891999999995	Q230
French Guiana	3.9338889999999997	-53.125781999999994	Q3769
Guernsey	49.465691	-2.5852779999999997	Q25230
Ghana	7.946527000000001	-1.0231940000000002	Q117
Gibraltar	36.137741	-5.345374	Q1410
Greenland	71.706936	-42.604303	Q223
Gambia	13.443182	-15.310139000000001	Q1005
Guinea	9.945587	-9.696645	Q1006
Guadeloupe	16.995971	-62.067641	Q3118683
Equatorial Guinea	1.6508009999999997	10.267895	Q983
Greece	39.074208	21.824312	Q41
South Georgia and the South Sandwich Islands	-54.429579000000004	-36.587909	Q35086
Guatemala	15.783470999999999	-90.23075899999999	Q774
Guam	13.444304	144.793731	Q16635
Guinea-Bissau	11.803749	-15.180413	Q1007
Guyana	4.860416000000001	-5.893018	Q734
Gaza Strip	31.354676	34.308825	Q39760
Hong Kong	22.396428	114.10949699999999	Q8646
Heard Island and McDonald Islands	-5.308180999999999	73.50415799999999	Q131198
Honduras	15.199998999999998	-86.241905	Q783
Croatia	5.1	15.2	Q224
Haiti	18.971187	-72.28521500000001	Q790
Hungary	47.162494	19.503304	Q28
Indonesia	-0.789275	113.921327	Q252
Ireland	53.41291	-8.243889999999999	Q27
Israel	31.046051000000002	34.851612	Q801
Isle of Man	54.236107	-4.548056	Q9676
India	20.593684	7.896288	Q668
British Indian Ocean Territory	-6.343194	71.87651899999999	Q43448
Iraq	33.223191	43.679291	Q796
Iran	32.427908	53.68804599999999	Q794
Iceland	64.96305100000001	-19.020835	Q189
Italy	4.187194	1.256738	Q38
Jersey	49.214439	-2.13125	Q785
Jamaica	18.109581	-77.297508	Q766
Jordan	30.585164000000002	36.238414	Q810
Japan	36.204824	138.252924	Q17
Kenya	-0.023559	37.906193	Q114
Kyrgyzstan	4.120438	74.766098	Q813
Cambodia	12.565679	104.990963	Q424
Kiribati	-3.3704169999999998	-168.734039	Q710
Comoros	-11.875001	43.872219	Q970
Saint Kitts and Nevis	17.357822	-62.782998	Q763
North Korea	40.339852	127.510093	Q423
South Korea	35.907757000000004	127.766922	Q884
Kuwait	2.931166	47.481766	Q817
Cayman Islands	19.513469	-80.566956	Q5785
Kazakhstan	48.019573	66.923684	Q232
Laos	1.985627	102.495496	Q819
Lebanon	33.854721000000005	35.862285	Q822
Saint Lucia	13.909444	-60.97889300000001	Q760
Liechtenstein	47.166000000000004	9.555373	Q347
Sri Lanka	7.873054	80.77179699999999	Q854
Liberia	6.4280550000000005	-9.429499	Q1014
Lesotho	-29.609988	28.233608	Q1013
Lithuania	55.169438	23.881275	Q37
Luxembourg	49.815273	6.129583	Q32
Latvia	56.879635	24.603189	Q211
Libya	26.3351	17.228331	Q1016
Morocco	31.791702	-7.09262	Q1028
Monaco	43.750298	7.412841	Q235
Moldova	47.411631	28.369884999999996	Q217
Montenegro	42.708678000000006	1.937439	Q236
Madagascar	-18.766947000000002	46.869107	Q1019
Marshall Islands	7.131474000000001	171.184478	Q709
Macedonia [FYROM]	41.608635	21.745275	Q221
Mali	17.570692	-3.9961660000000006	Q912
Myanmar [Burma]	21.913965	95.956223	Q836
Mongolia	46.862496	103.84665600000001	Q711
Macau	22.198745000000002	113.543873	Q14773
Northern Mariana Islands	1.7330830000000002	14.538469000000001	Q16644
Martinique	14.641528	-61.024174	Q17054
Mauritania	2.100789	-10.940835	Q1025
Montserrat	16.742498	-62.187366000000004	Q13353
Malta	35.937496	14.375416	Q233
Mauritius	-20.348404000000002	57.552152	Q1027
Maldives	3.202778	7.322067999999999	Q826
Malawi	-13.254307999999998	34.301525	Q1020
Mexico	23.634501	-102.552784	Q96
Malaysia	4.210483999999999	101.97576600000001	Q833
Mozambique	-18.665695	35.529562	Q1029
Namibia	-2.295764	1.849041	Q1030
New Caledonia	-20.904304999999997	165.618042	Q33788
Niger	17.607789	8.081666	Q1032
Norfolk Island	-29.040834999999998	167.954712	Q31057
Nigeria	9.081999	8.675277000000001	Q1033
Nicaragua	12.865416	-85.207229	Q811
Netherlands	52.132633	5.291266	Q55
Norway	60.472024	8.468946	Q20
Nepal	28.394857000000002	84.12400799999999	Q837
Nauru	-0.522778	166.931503	Q697
Niue	-19.054445	-169.867233	Q34020
New Zealand	-40.900557	174.88597099999998	Q664
Oman	21.512583	55.923255000000005	Q842
Panama	8.537981	-80.782127	Q804
Peru	-9.189967	-75.015152	Q419
French Polynesia	-17.679742	-149.40684299999998	Q30971
Papua New Guinea	-6.314993	14.395554999999998	Q691
Philippines	12.879721	121.77401699999999	Q928
Pakistan	30.375321000000003	69.345116	Q843
Poland	51.919438	19.145135999999997	Q36
Saint Pierre and Miquelon	46.941936	-5.627111	Q34617
Pitcairn Islands	-24.703615	-127.43930800000001	Q35672
Puerto Rico	18.220833	-66.590149	Q1183
Palestinian Territories	31.952162	35.233154	Q219060
Portugal	39.399871999999995	-8.224454	Q45
Palau	7.51498	13.458251999999998	Q695
Paraguay	-23.442503	-58.44383199999999	Q733
Qatar	25.354826	51.183884	Q846
Réunion	-21.115141	55.536384	Q17070
Romania	45.943160999999996	2.496676	Q218
Serbia	44.016521000000004	21.005859	Q403
Russia	6.152401	105.31875600000001	Q159
Rwanda	-1.940278	29.873888	Q1037
Saudi Arabia	23.885942	45.079162	Q851
Solomon Islands	-9.645710000000001	160.156194	Q685
Seychelles	-4.679574	55.491977	Q1042
Sudan	12.862807	30.217636	Q1049
Sweden	60.128161	18.643501	Q34
Singapore	1.352083	103.819836	Q334
Saint Helena	-24.143473999999998	-10.030696	Q192184
Slovenia	46.151241	14.995463	Q215
Svalbard and Jan Mayen	77.553604	23.670272	Q842829
Slovakia	48.669026	19.699023999999998	Q214
Sierra Leone	8.460555000000001	-11.779889	Q1044
San Marino	4.394236	12.457777	Q238
Senegal	14.497401000000002	-14.452361999999999	Q1041
Somalia	5.152149	46.199616	Q1045
Suriname	3.9193050000000005	-56.02778299999999	Q730
São Tomé and Príncipe	0.18636	6.613081	Q1039
El Salvador	13.794185	-8.889653	Q792
Syria	34.802075	38.996815000000005	Q858
Swaziland	-26.522503000000004	31.465866	Q1050
Turks and Caicos Islands	21.694025	-71.797928	Q18221
Chad	15.454166	18.732207	Q657
French Southern Territories	-49.280366	69.348557	Q129003
Togo	8.619543	0.824782	Q945
Thailand	15.870032	100.992541	Q869
Tajikistan	38.861034000000004	71.276093	Q863
Tokelau	-8.967363	-171.855881	Q36823
Timor-Leste	-8.874217	125.727539	Q574
Turkmenistan	38.969719	59.556278000000006	Q874
Tunisia	33.886917	9.537499	Q948
Tonga	-21.178986	-175.198242	Q678
Turkey	38.963745	35.243322	Q43
Trinidad and Tobago	10.691803	-61.222503	Q754
Tuvalu	-7.109535	17.764933	Q672
Taiwan	2.369781	120.96051499999999	Q865
Tanzania	-6.369028	34.888822	Q924
Ukraine	48.379433	3.1165580000000004	Q212
Uganda	1.373333	32.290275	Q1036
United States	3.709024	-95.712891	Q30
Uruguay	-32.522779	-55.765834999999996	Q77
Uzbekistan	41.377491	64.585262	Q265
Vatican City	41.902916	12.453389	Q237
Saint Vincent and the Grenadines	12.984305	-61.287228000000006	Q757
Venezuela	6.42375	-6.658973	Q717
British Virgin Islands	18.420695000000002	-64.63996800000001	Q25305
U.S. Virgin Islands	18.335765	-64.896335	Q11703
Vietnam	14.058323999999999	108.277199	Q881
Vanuatu	-15.376706	166.959158	Q686
Wallis and Futuna	-13.768752	-177.156097	Q35555
Samoa	-13.759029	-172.10462900000002	Q683
Kosovo	42.602636	20.902977	Q1246
Yemen	15.552726999999999	48.516388	Q805
Mayotte	-12.8275	45.166244	Q17063
South Africa	-30.559482	22.937506	Q258
Zambia	-13.133897	27.849332	Q953
Zimbabwe	-19.015438	29.154857	Q954
