Country	$ billions	$ per capita	ID
Luxembourg	48.1	77,57	Q32
Madagascar	44.7	1,66	Q1019
Malawi	20.1	1,08	Q1020
Malaysia	916.2	28,68	Q833
Maldives	9.5	17,88	Q826
Mali	46.4	2,36	Q912
Malta	21.0	41,69	Q233
Marshall Islands	0.3	5,09	Q709
Mauritania	24.2	5,35	Q1025
Mauritius	33.4	26,41	Q1027
Mexico	2,527.0	19,81	Q96
Micronesia, Fed. Sts.	0.4	3,64	Q702
Moldova	35.9	13,28	Q217
Mongolia	36.7	11,37	Q711
Montenegro	14.4	23,07	Q236
Morocco	284.4	7,68	Q1028
Mozambique	39.5	1,3	Q1029
Myanmar	278.8	5,16	Q836
Namibia	24.3	9,75	Q1030
Nauru	0.2	17,79	Q697
Nepal	103.0	3,6	Q837
Netherlands	1,038.1	59,89	Q55
New Zealand	210.0	42,71	Q664
Nicaragua	35.9	5,49	Q811
Niger	29.2	1,25	Q1032
Nigeria	1,039.6	5,17	Q1033
North Macedonia	35.6	17,11	Q221
Norway	372.3	69,61	Q20
Oman	142.2	28,59	Q842
Pakistan	1,129.1	5,21	Q843
Palau	0.3	19,5	Q695
Panama	130.0	30,6	Q804
Papua New Guinea	39.2	4,47	Q691
Paraguay	89.7	12,73	Q733
Peru	414.7	12,76	Q419
Philippines	1,102.8	10,2	Q928
Poland	1,242.1	32,71	Q36
Portugal	365.6	35,6	Q45
Puerto Rico	77.4	24,24	Q1183
Qatar	266.7	94,17	Q846
Romania	616.6	31,86	Q218
Russian Federation	4,147.4	28,27	Q159
Rwanda	28.3	2,24	Q1037
Samoa	1.3	6,49	Q683
Sao Tome and Principe	0.9	4,09	Q1039
Saudi Arabia	1,692.9	49,4	Q851
Senegal	56.1	3,44	Q1041
Serbia	124.8	17,96	Q403
Seychelles	2.9	29,3	Q1042
Sierra Leone	13.0	1,67	Q1044
Singapore	524.8	92,02	Q334
Sint Maarten (Dutch part)	1.3	31,34	Q26273
Slovak Republic	183.7	33,68	Q214
Slovenia	83.7	40,07	Q215
Solomon Islands	1.6	2,35	Q685
South Africa	739.7	12,63	Q258
Spain	1,991.3	42,3	Q29
Sri Lanka	288.4	13,23	Q854
St. Kitts and Nevis	1.4	25,92	Q763
St. Lucia	2.8	15,14	Q760
St. Vincent and the Grenadines	1.4	12,88	Q757
Sudan	170.7	3,99	Q1049
Suriname	8.8	15,2	Q730
Sweden	589.3	57,3	Q34
Switzerland	620.7	72,39	Q39
Tajikistan	38.2	4,1	Q863
Tanzania	152.0	2,7	Q924
Thailand	1,289.4	18,52	Q869
Timor-Leste	6.1	4,73	Q574
Togo	13.5	1,67	Q945
Tonga	0.7	6,51	Q678
Trinidad and Tobago	37.6	26,95	Q754
Tunisia	126.2	10,8	Q948
Turkey	2,287.0	27,41	Q43
Turkmenistan	85.2	14,56	Q874
Turks and Caicos Islands	1.0	26,21	Q18221
Tuvalu	0.1	6,17	Q672
Uganda	97.9	2,21	Q1036
Ukraine	578.0	13,75	Q212
United Arab Emirates	686.3	70,24	Q878
United Kingdom	3,210.9	48,04	Q145
United States	21,625.0	65,88	Q30
Uruguay	73.1	21,12	Q77
Uzbekistan	248.5	7,4	Q265
Vanuatu	1.0	3,31	Q686
Vietnam	747.2	7,75	Q881
West Bank and Gaza	30.8	6,74	Q407199
Zambia	63.9	3,58	Q953
Zimbabwe	40.0	2,73	Q954
