Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Mauritius	12.7	6.9	8.8	5.2	Q1027
Mexico	22.8	18.4	6.6	3.6	Q96
Moldova	51.9	39.3	49.9	32.9	Q217
Mongolia	50.5	30.4	46.4	25.2	Q711
Montenegro	10.8	8.6	8.3	7.3	Q236
Morocco	40.9	29.1	57.7	54.8	Q1028
Mozambique	70.5	59.8	91	80.5	Q1029
Myanmar	63.9	53.2	58.2	44.5	Q836
Namibia	33	24.1	29.2	21.1	Q1030
Nepal	66.3	53.2	84.6	75.3	Q837
Netherlands	4	2.8	2.4	1.3	Q55
New Caledonia	6.7	2.9	2.9	0.9	Q33788
New Zealand	11.1	7.6	5.8	3.8	Q664
Nicaragua	41.8	44	9.8	8.4	Q811
Niger	80.7	79.1	74.6	70.2	Q1032
Nigeria	53.7	44.5	42.8	24.4	Q1033
North Macedonia	23.7	16.3	25.4	14.8	Q221
Norway	6	3	2.3	1.1	Q20
Oman	6.6	5.2	5.4	0.4	Q842
Pakistan	39.3	30.1	65.5	66.4	Q843
Panama	25.2	18.3	1.8	8	Q804
Papua New Guinea	69.3	57.1	77.5	61.7	Q691
Paraguay	40.9	23.7	20	14.6	Q733
Peru	37	28.7	31.4	25.9	Q419
Philippines	45.3	30.5	24	14.4	Q928
Poland	18.9	10.6	18.4	8.4	Q36
Portugal	11.3	8.1	14.3	3.9	Q45
Puerto Rico	3.1	1.7	0.2	0.3	Q1183
Qatar	3.1	1.4	0	0	Q846
Romania	42.8	22.4	48	22.2	Q218
Russian Federation	17.1	7.7	11.7	4	Q159
Rwanda	83	53.4	93.8	72.4	Q1037
Samoa	54.5	43	17.9	6.8	Q683
Sao Tome and Principe	36.9	24.5	19.4	9.2	Q1039
Saudi Arabia	6.7	2.8	2.3	0.5	Q851
Senegal	47.4	34.1	43.8	25.7	Q1041
Serbia	26.4	17.7	26.3	13.6	Q403
Sierra Leone	66.7	58.4	73.7	52.8	Q1044
Singapore	1.2	1	0.4	0.3	Q334
Slovak Republic	9.1	3.2	4.3	1.2	Q214
Slovenia	9.5	5.9	9.7	4.9	Q215
Solomon Islands	48.2	38.1	52.6	38.2	Q685
Somalia	82.9	82	89.9	87.1	Q1045
South Africa	10.9	6.2	8.3	3.9	Q258
South Sudan	43.2	42.2	76.3	74	Q958
Spain	7.8	5.9	4.8	2.2	Q29
Sri Lanka	38.2	23.7	47.9	28.3	Q854
St. Lucia	26	22.1	13.8	11.7	Q760
St. Vincent and the Grenadines	22	15.3	8.5	4.8	Q757
Sudan	46.8	34.8	66.7	55.2	Q1049
Suriname	8.1	9.5	3.6	4.1	Q730
Sweden	4.3	2.4	1.4	0.9	Q34
Switzerland	5.5	3.4	4	2.6	Q39
Syrian Arab Republic	26.6	11.4	62	8.5	Q858
Tajikistan	49.5	36.4	78.9	61.2	Q863
Tanzania	80.4	63.7	85.7	68	Q924
Thailand	49.8	34.6	47.6	29.2	Q869
Timor-Leste	59.2	48	60.2	42.4	Q574
Togo	47.7	40.2	47.7	36.4	Q945
Tonga	50.5	38.4	4.3	2.4	Q678
Trinidad and Tobago	9.9	4.3	2.9	1.4	Q754
Tunisia	19.8	14.4	22.8	9.9	Q948
Turkey	29.2	14.9	65.6	26	Q43
Turkmenistan	33.2	20.9	26.5	19.4	Q874
Uganda	63.5	68.6	77.4	77.4	Q1036
Ukraine	25.9	17	24.3	12.5	Q212
United Arab Emirates	9	1.8	0.1	0	Q878
United Kingdom	2.2	1.5	0.8	0.6	Q145
United States	2.3	1.9	0.9	0.8	Q30
Uruguay	15.8	12.1	5.7	3.7	Q77
Uzbekistan	39.3	24.1	40.8	25.3	Q265
Vanuatu	63.5	57	69.5	55.7	Q686
Venezuela, RB	16	12.2	1.7	1.1	Q717
Vietnam	64.3	37.4	66.3	39.9	Q881
Virgin Islands (U.S.)	9.1	6	1.7	0.8	Q11703
West Bank and Gaza	10.3	6.2	34.7	6.8	Q407199
Yemen, Rep.	33.9	28.1	63.4	47.1	Q805
Zambia	64.3	44.1	78.1	54.9	Q953
Zimbabwe	52.1	62.6	70	70	Q954
