Country	2019	2018	2017	2016	2015	2014	2013	2012	ID
Kenya	28	27	28	26	25.0	25.0	27.0	27.0	Q114
Honduras	26	29	29	30	31.0	29.0	26.0	28.0	Q783
Iran	26	28	30	29	27.0	27.0	25.0	28.0	Q794
Guatemala	26	27	28	28	28.0	32.0	29.0	33.0	Q774
Nigeria	26	27	27	28	26.0	27.0	25.0	27.0	Q1033
Mozambique	26	23	25	27	31.0	31.0	30.0	31.0	Q1029
Bangladesh	26	26	28	26	25.0	25.0	27.0	26.0	Q902
Angola	26	19	19	18	15.0	19.0	23.0	22.0	Q916
Comoros	25	27	27	24	26.0	26.0	28.0	28.0	Q970
Uzbekistan	25	23	22	21	19.0	18.0	17.0	17.0	Q265
Tajikistan	25	25	21	25	26.0	23.0	22.0	22.0	Q863
Central African Republic	25	26	23	20	24.0	24.0	25.0	26.0	Q929
Cameroon	25	25	25	26	27.0	27.0	25.0	26.0	Q1009
Madagascar	24	25	24	26	28.0	28.0	28.0	32.0	Q1019
Zimbabwe	24	22	22	22	21.0	21.0	21.0	20.0	Q954
Eritrea	23	24	20	18	18.0	18.0	20.0	25.0	Q986
Nicaragua	22	25	26	26	27.0	28.0	28.0	29.0	Q811
Cambodia	20	20	21	21	21.0	21.0	20.0	22.0	Q424
Chad	20	19	20	20	22.0	22.0	19.0	19.0	Q657
Iraq	20	18	18	17	16.0	16.0	16.0	18.0	Q796
Turkmenistan	19	20	19	22	18.0	17.0	17.0	17.0	Q874
Republic of the Congo	19	19	21	20	23.0	23.0	22.0	26.0	Q971
Burundi	19	17	22	20	21.0	20.0	21.0	19.0	Q967
Haiti	18	20	22	20	17.0	19.0	19.0	19.0	Q790
DR Congo	18	19	21	21	22.0	22.0	22.0	21.0	Q974
Guinea-Bissau	18	28	27	16	17.0	19.0	19.0	25.0	Q1007
Libya	18	17	17	14	16.0	18.0	15.0	21.0	Q1016
North Korea	17	14	17	8	8.0	8.0	8.0	8.0	Q423
Venezuela	16	18	18	17	17.0	19.0	20.0	19.0	Q717
Afghanistan	16	16	15	15	11.0	12.0	8.0	8.0	Q889
Sudan	16	16	16	14	12.0	11.0	11.0	13.0	Q1049
Yemen	15	14	16	14	18.0	19.0	18.0	23.0	Q805
Syria	13	13	14	13	18.0	20.0	17.0	26.0	Q858
Somalia	9	10	9	10	8.0	8.0	8.0	8.0	Q1045
