Country	population %	ID
Greenland	100	Q223
Grenada	92.5	Q769
Guam	100	Q16635
Guatemala	90.5	Q774
Guinea	33.9	Q1006
Guinea-Bissau	20.3	Q1007
Guyana	88.3	Q734
Haiti	41	Q790
Honduras	90	Q783
Hungary	100	Q28
Iceland	100	Q189
India	88	Q668
Indonesia	97.5	Q252
Iran, Islamic Rep.	100	Q794
Iraq	99.4	Q796
Ireland	100	Q27
Isle of Man	100	Q9676
Israel	100	Q801
Italy	100	Q38
Jamaica	94.9	Q766
Japan	100	Q17
Jordan	99.8	Q810
Kazakhstan	100	Q232
Kenya	41.6	Q114
Kiribati	90.6	Q710
Korea, Dem. Peopleâ€™s Rep.	41.2	Q423
Korea, Rep.	100	Q884
Kosovo	100	Q1246
Kuwait	100	Q817
Kyrgyz Republic	99.8	Q813
Lao PDR	89.7	Q819
Latvia	100	Q211
Lebanon	100	Q822
Lesotho	31.8	Q1013
Liberia	16.1	Q1014
Libya	73.4	Q1016
Liechtenstein	100	Q347
Lithuania	100	Q37
Luxembourg	100	Q32
North Macedonia	100	Q221
Madagascar	20.2	Q1019
Malawi	10.8	Q1020
Malaysia	100	Q833
Maldives	99.8	Q826
Mali	37.6	Q912
Malta	100	Q233
Marshall Islands	92.5	Q709
Mauritania	39.5	Q1025
Mauritius	97.3	Q1027
Mexico	99	Q96
Micronesia, Fed. Sts.	75.6	Q702
Moldova	100	Q217
Monaco	100	Q235
Mongolia	88	Q711
Montenegro	100	Q236
Morocco	99.6	Q1028
Mozambique	24	Q1029
Myanmar	60.5	Q836
Namibia	51.6	Q1030
Nepal	85.2	Q837
Netherlands	100	Q55
New Caledonia	100	Q33788
New Zealand	100	Q664
Nicaragua	83.7	Q811
Niger	16.6	Q1032
Nigeria	52.5	Q1033
Northern Mariana Islands	100	Q16644
Norway	100	Q20
Oman	100	Q842
Pakistan	71.2	Q843
Palau	99.4	Q695
Panama	95.3	Q804
Papua New Guinea	44.5	Q691
Paraguay	99.3	Q733
Peru	93.9	Q419
Philippines	89.1	Q928
Poland	100	Q36
Portugal	100	Q45
Puerto Rico	100	Q1183
Qatar	100	Q846
Romania	100	Q218
Russian Federation	95.5	Q159
Rwanda	22.8	Q1037
Samoa	99.7	Q683
San Marino	100	Q238
Sao Tome and Principe	66.2	Q1039
Saudi Arabia	100	Q851
Senegal	60.5	Q1041
Serbia	99.9	Q403
Seychelles	100	Q1042
Sierra Leone	19.7	Q1044
Singapore	100	Q334
Sint Maarten (Dutch part)	100	Q26273
Slovak Republic	100	Q214
Slovenia	100	Q215
Solomon Islands	55.1	Q685
Somalia	29.7	Q1045
South Africa	85.5	Q258
South Sudan	18.4	Q958
Spain	100	Q29
Sri Lanka	94.1	Q854
St. Kitts and Nevis	100	Q763
St. Lucia	97.4	Q760
St. Martin (French part)	100	Q126125
St. Vincent and the Grenadines	99.7	Q757
Sudan	49.4	Q1049
Suriname	95.1	Q730
Sweden	100	Q34
Switzerland	100	Q39
Syrian Arab Republic	89.8	Q858
Tajikistan	98	Q863
Tanzania	26.5	Q924
Thailand	99.6	Q869
Timor-Leste	67.3	Q574
Togo	45.1	Q945
Tonga	96.2	Q678
Trinidad and Tobago	100	Q754
Tunisia	99.9	Q948
Turkey	100	Q43
Turkmenistan	100	Q874
Turks and Caicos Islands	100	Q18221
Tuvalu	99.2	Q672
Uganda	18.5	Q1036
Ukraine	100	Q212
United Arab Emirates	100	Q878
United Kingdom	100	Q145
United States	100	Q30
Uruguay	99.7	Q77
Uzbekistan	100	Q265
Vanuatu	52.4	Q686
Venezuela, RB	100	Q717
Vietnam	99.8	Q881
Virgin Islands (U.S.)	100	Q11703
West Bank and Gaza	99.9	Q407199
Yemen, Rep.	71.2	Q805
Zambia	31.1	Q953
Zimbabwe	33.7	Q954
