Country	Both sexes	Males	Females	ID
Egypt	4.4	7.2	1.7	Q79
Panama	4.4	7.6	1.2	Q804
Iraq	4.1	4.7	3.4	Q796
Iran	4.0	4.9	3.1	Q794
Tonga	4.0	5.2	2.9	Q678
Greece	3.8	6.1	1.5	Q41
Venezuela	3.8	6.6	1.2	Q717
Jordan	3.7	4.7	2.7	Q810
Philippines	3.7	5.2	2.3	Q928
Indonesia	3.7	5.2	2.2	Q252
Oman	3.5	4.8	0.9	Q842
Honduras	3.4	5.3	1.7	Q783
Saudi Arabia	3.4	4.6	1.7	Q851
Algeria	3.3	4.9	1.8	Q262
Tajikistan	3.3	5.0	1.7	Q863
Tunisia	3.2	4.4	2.2	Q948
Lebanon	3.2	4.2	2.2	Q822
Morocco	3.1	2.5	3.6	Q1028
Pakistan	3.1	3.0	3.1	Q843
São Tomé and Príncipe	3.1	4.2	2.1	Q1039
Guatemala	2.9	4.4	1.7	Q774
Maldives	2.7	3.6	1.6	Q826
United Arab Emirates	2.7	3.5	0.8	Q878
Azerbaijan	2.6	4.3	1.0	Q227
Syria	2.4	3.8	1.1	Q858
Saint Vincent and the Grenadines	2.4	3.9	0.9	Q757
Kuwait	2.2	2.5	1.7	Q817
Jamaica	2.0	3.2	0.9	Q766
Grenada	1.7	2.1	1.0	Q769
Bahamas	1.6	2.8	0.5	Q778
Antigua and Barbuda	0.5	0.0	0.9	Q781
Barbados	0.4	0.8	0.3	Q244
