Country	Surface area	ID
Uruguay	176.2	Q77
Uzbekistan	447.4	Q265
Vanuatu	12.2	Q686
Venezuela, RB	912.1	Q717
Vietnam	331.2	Q881
Virgin Islands (U.S.)	0.4	Q11703
West Bank and Gaza	6.0	Q407199
Yemen, Rep.	528.0	Q805
Zambia	752.6	Q953
Zimbabwe	390.8	Q954
