Country	Tons	Change %	ID
Lesotho	1462	3290	Q1013
Liberia	184	97.2	Q1014
Libya	8494	15.5	Q1016
Lithuania	6036	-78	Q37
Luxembourg	332	1.9	Q32
North Macedonia	1251	197.5	Q221
Madagascar	86855	308	Q1019
Malawi	12279	972.4	Q1020
Malaysia	14128	-96.3	Q833
Mali	47011	214.8	Q912
Mauritania	2544	1042.5	Q1025
Mexico	24705	-38.6	Q96
Moldova	-1136	51.9	Q217
Mongolia	2178	-92.7	Q711
Morocco	6847	-10.8	Q1028
Mozambique	363886	1995.6	Q1029
Myanmar	412033	-45.3	Q836
Namibia	26597	65222.5	Q1030
Nepal	5994	4333.7	Q837
Netherlands	4321	-67.4	Q55
New Zealand	4144	-68.5	Q664
Nicaragua	1410	185.2	Q811
Nigeria	92587	713	Q1033
Norway	1197	-81.3	Q20
Oman	-30097	-97.3	Q842
Pakistan	28977	6.1	Q843
Panama	1171	-69.2	Q804
Papua New Guinea	806	-90.3	Q691
Paraguay	19796	-45.3	Q733
Peru	-883	-70.7	Q419
Philippines	10485	-15.4	Q928
Poland	17352	-89.8	Q36
Portugal	6775	3370.5	Q45
Puerto Rico	-4	-98.2	Q1183
Qatar	-21342	19497.2	Q846
Romania	-1511	-67.9	Q218
Russian Federation	386865	1.5	Q159
Rwanda	769	198.6	Q1037
Samoa	55	-100	Q683
Sao Tome and Principe	87	-100	Q1039
Saudi Arabia	8839	18.5	Q851
Senegal	30364	125305.3	Q1041
Seychelles	382	0	Q1042
Sierra Leone	5671	24.5	Q1044
Singapore	6773	413.4	Q334
Slovak Republic	1597	347.1	Q214
Slovenia	1083	-36.3	Q215
Solomon Islands	229	-100	Q685
Somalia	-392	-20.4	Q1045
Spain	17453	105.5	Q29
Sri Lanka	988	-89.6	Q854
St. Lucia	4	100	Q760
Sudan	297048	7326.2	Q1049
Suriname	-476	-99.8	Q730
Eswatini	922	375.8	Q1050
Sweden	4576	86.1	Q34
Switzerland	3931	-5.5	Q39
Syrian Arab Republic	5794	983.4	Q858
Tajikistan	4515	-86.9	Q863
Tanzania	185379	319.3	Q924
Thailand	45142	227.6	Q869
Timor-Leste	-556	-500	Q574
Togo	12378	57.3	Q945
Tonga	-116	-100	Q678
Trinidad and Tobago	12088	6425	Q754
Tunisia	3680	435.4	Q948
Turkey	-6438	187.4	Q43
Turkmenistan	-3906	88.9	Q874
Tuvalu	0	-620	Q672
Uganda	40137	168.1	Q1036
Ukraine	-196	-77	Q212
United Arab Emirates	-10935	68.4	Q878
United Kingdom	39448	-2.7	Q145
United States	448686	120.2	Q30
Uruguay	-1393	-56.7	Q77
Uzbekistan	258	-9.6	Q265
Vanuatu	-20	650	Q686
Venezuela, RB	11262	-42.4	Q717
Vietnam	-2038	348	Q881
Virgin Islands (U.S.)	0	1250	Q11703
Yemen, Rep.	6024	433.3	Q805
Zambia	301826	112.2	Q953
Zimbabwe	48486	5764.5	Q954
