Country	%_2000	%_2018	ID
Mauritania	13.5	13.8	Q1025
Mauritius	24.8	18.4	Q1027
Mexico	4.4	6.4	Q96
Moldova	17.1	7.6	Q217
Mongolia	10.9	14.5	Q711
Montenegro	48	33.3	Q236
Morocco	21.9	22.1	Q1028
Mozambique	8.9	6.9	Q1029
Myanmar	1.3	3.2	Q836
Namibia	36.3	37.4	Q1030
Nepal	3.6	2.8	Q837
Netherlands	4.7	7.7	Q55
New Caledonia	39.5	32.8	Q33788
New Zealand	14.5	12.4	Q664
Nicaragua	10.8	8.7	Q811
Niger	4.2	0.8	Q1032
Nigeria	10.3	10.4	Q1033
North Macedonia	56	46.6	Q221
Norway	10.7	10.6	Q20
Oman	14.4	10	Q842
Pakistan	1.1	8.3	Q843
Panama	6.4	7.6	Q804
Papua New Guinea	6.1	5.6	Q691
Paraguay	13.1	9.8	Q733
Peru	9.4	8.7	Q419
Philippines	7.8	5.7	Q928
Poland	33.6	11.5	Q36
Portugal	5.5	19.9	Q45
Puerto Rico	23.2	23.5	Q1183
Qatar	1.9	0.2	Q846
Romania	18.9	16.3	Q218
Russian Federation	19.5	16.4	Q159
Rwanda	1.3	1.2	Q1037
Samoa	9.9	14.9	Q683
Sao Tome and Principe	18.6	15.3	Q1039
Saudi Arabia	22.2	19.9	Q851
Senegal	7	7.1	Q1041
Serbia	27.7	27.9	Q403
Sierra Leone	7	13.7	Q1044
Singapore	5.4	6.5	Q334
Slovak Republic	39.6	14.3	Q214
Slovenia	14.8	8.3	Q215
Solomon Islands	3.5	0.9	Q685
Somalia	18.5	17	Q1045
South Africa	49.1	49.5	Q258
South Sudan	21	20.2	Q958
Spain	19.7	35.3	Q29
Sri Lanka	20.5	16.7	Q854
St. Lucia	22.5	42	Q760
St. Vincent and the Grenadines	40.5	40.4	Q757
Sudan	27.4	26.8	Q1049
Suriname	22.1	8.9	Q730
Sweden	10.6	18	Q34
Switzerland	5.8	8.4	Q39
Syrian Arab Republic	13.9	16.9	Q858
Tajikistan	28.1	21.2	Q863
Tanzania	5.6	2.9	Q924
Thailand	7.3	3.6	Q869
Timor-Leste	6.2	10	Q574
Togo	6.4	3.6	Q945
Tonga	6.4	1.8	Q678
Trinidad and Tobago	6.4	6	Q754
Tunisia	32.7	33.6	Q948
Turkey	13.2	17.1	Q43
Turkmenistan	22.8	9.4	Q874
Uganda	4.6	1.9	Q1036
Ukraine	21.5	17	Q212
United Arab Emirates	5.9	5.2	Q878
United Kingdom	13.4	12.2	Q145
United States	9.6	9.4	Q30
Uruguay	25.4	23	Q77
Uzbekistan	20.8	10.8	Q265
Vanuatu	8.6	8.4	Q686
Venezuela, RB	21.6	13.7	Q717
Vietnam	5	7.2	Q881
Virgin Islands (U.S.)	19	18.4	Q11703
West Bank and Gaza	15.7	36.8	Q407199
Yemen, Rep.	20.3	23.4	Q805
Zambia	22.2	20.6	Q953
Zimbabwe	12.4	7.4	Q954
