Country	Children under age 5	Pregnant women	Non-pregnant women	ID
Germany	12	23	16	Q183
Ghana	67	54	46	Q117
Greece	14	24	16	Q41
Grenada	34	28	23	Q769
Guatemala	37	25	16	Q774
Guinea	74	61	50	Q1006
Guinea-Bissau	68	51	43	Q1007
Guyana	38	29	33	Q734
Haiti	58	50	46	Q790
Honduras	31	21	18	Q783
Hungary	27	27	26	Q28
Iceland	12	22	16	Q189
India	57	50	52	Q668
Indonesia	37	42	28	Q252
Iran, Islamic Rep.	28	34	30	Q794
Iraq	24	34	29	Q796
Ireland	13	22	15	Q27
Israel	13	24	15	Q801
Italy	13	25	17	Q38
Jamaica	28	27	22	Q766
Japan	13	34	21	Q17
Jordan	31	37	35	Q810
Kazakhstan	29	30	31	Q232
Kenya	41	38	26	Q114
Kiribati	39	36	25	Q710
Korea, Dem. Peopleâ€™s Rep.	31	38	32	Q423
Korea, Rep.	12	26	23	Q884
Kuwait	25	31	24	Q817
Kyrgyz Republic	38	40	36	Q813
Lao PDR	44	46	39	Q819
Latvia	26	25	25	Q211
Lebanon	25	35	31	Q822
Lesotho	50	33	27	Q1013
Liberia	69	38	34	Q1014
Libya	29	38	32	Q1016
Lithuania	26	26	26	Q37
Luxembourg	13	23	16	Q32
Madagascar	49	36	37	Q1019
Malawi	59	42	34	Q1020
Malaysia	31	37	24	Q833
Maldives	39	47	42	Q826
Mali	83	58	50	Q912
Malta	13	25	16	Q233
Marshall Islands	36	36	26	Q709
Mauritania	68	45	37	Q1025
Mauritius	39	29	25	Q1027
Mexico	28	20	14	Q96
Micronesia, Fed. Sts.	38	33	23	Q702
Moldova	26	28	27	Q217
Mongolia	30	30	19	Q711
Montenegro	27	27	25	Q236
Morocco	34	40	37	Q1028
Mozambique	60	51	51	Q1029
Myanmar	53	54	46	Q836
Namibia	47	27	23	Q1030
Nepal	43	40	35	Q837
Netherlands	13	23	16	Q55
New Zealand	13	20	11	Q664
Nicaragua	29	26	16	Q811
Niger	77	59	48	Q1032
Nigeria	68	58	49	Q1033
North Macedonia	25	28	23	Q221
Norway	12	22	15	Q20
Oman	38	42	38	Q842
Pakistan	59	51	52	Q843
Panama	29	27	23	Q804
Papua New Guinea	48	45	36	Q691
Paraguay	26	33	22	Q733
Peru	32	26	18	Q419
Philippines	18	30	15	Q928
Poland	26	26	26	Q36
Portugal	14	25	17	Q45
Puerto Rico	28	25	21	Q1183
Qatar	26	33	28	Q846
Romania	27	27	27	Q218
Russian Federation	26	24	23	Q159
Rwanda	36	24	22	Q1037
Samoa	43	43	31	Q683
Sao Tome and Principe	65	55	45	Q1039
Saudi Arabia	38	46	43	Q851
Senegal	68	58	49	Q1041
Serbia	26	28	27	Q403
Seychelles	35	27	22	Q1042
Sierra Leone	77	56	47	Q1044
Singapore	17	32	22	Q334
Slovak Republic	26	27	27	Q214
Slovenia	27	26	24	Q215
Solomon Islands	43	49	38	Q685
Somalia	56	47	44	Q1045
South Africa	37	28	26	Q258
South Sudan	58	39	34	Q958
Spain	13	25	16	Q29
Sri Lanka	26	35	33	Q854
St. Lucia	35	27	22	Q760
St. Vincent and the Grenadines	33	28	24	Q757
Sudan	57	34	30	Q1049
Suriname	34	30	24	Q730
Sweden	12	22	15	Q34
Switzerland	13	25	18	Q39
Syrian Arab Republic	35	36	34	Q858
Tajikistan	31	34	30	Q863
Tanzania	55	48	36	Q924
Thailand	28	40	32	Q869
Timor-Leste	61	43	41	Q574
Togo	71	61	48	Q945
Tonga	38	29	21	Q678
Trinidad and Tobago	32	27	24	Q754
Tunisia	29	37	31	Q948
Turkey	28	34	31	Q43
Turkmenistan	28	33	33	Q874
Uganda	51	34	28	Q1036
Ukraine	26	25	24	Q212
United Arab Emirates	27	33	28	Q878
United Kingdom	12	22	15	Q145
United States	9	16	13	Q30
Uruguay	23	31	20	Q77
Uzbekistan	37	25	37	Q265
Vanuatu	28	28	24	Q686
Venezuela, RB	30	29	24	Q717
Vietnam	34	37	24	Q881
West Bank and Gaza	26	33	29	Q407199
Yemen, Rep.	84	63	70	Q805
Zambia	54	39	33	Q953
Zimbabwe	42	34	28	Q954
