Country	Population (2000)	Population (2016)	ID
Eswatini	27.2	49.7	Q1050
Ethiopia	1.1	3.5	Q115
Fiji	31.1	39.6	Q712
Finland	100	100	Q33
France	100	100	Q142
Gabon	58.7	79.1	Q1000
Gambia, The	3.2	3.3	Q1005
Georgia	41.2	77.8	Q230
Germany	100	100	Q183
Ghana	5.9	21.7	Q117
Greece	88.2	94.3	Q41
Grenada	92.9	96.6	Q769
Guatemala	39.3	45.2	Q774
Guinea	1.2	1.2	Q1006
Guinea-Bissau	1.4	1.5	Q1007
Guyana	36.3	74.5	Q734
Haiti	3.2	4.3	Q790
Honduras	29.9	53.1	Q783
Hungary	100	100	Q28
Iceland	100	100	Q189
India	22.2	41	Q668
Indonesia	5.4	58.4	Q252
Iran, Islamic Rep.	85.7	98.5	Q794
Iraq	75	97.6	Q796
Ireland	100	100	Q27
Israel	100	100	Q801
Italy	100	100	Q38
Jamaica	73.2	90.5	Q766
Japan	100	100	Q17
Jordan	97.3	99.1	Q810
Kazakhstan	82.9	95.3	Q232
Kenya	2	13.4	Q114
Kiribati	2.3	5.5	Q710
Korea, Dem. Peopleâ€™s Rep.	3.1	10.8	Q423
Korea, Rep.	96.2	96.7	Q884
Kuwait	100	100	Q817
Kyrgyz Republic	51.7	81.3	Q813
Lao PDR	4	5.6	Q819
Latvia	85.9	95.3	Q211
Lesotho	18.1	35.6	Q1013
Liberia	0.6	0.7	Q1014
Lithuania	100	100	Q37
Luxembourg	100	100	Q32
North Macedonia	43.9	65.6	Q221
Madagascar	1.1	0.9	Q1019
Malawi	1.8	2.5	Q1020
Malaysia	94.5	96.3	Q833
Maldives	32.2	93.8	Q826
Mali	1.3	1	Q912
Malta	100	100	Q233
Marshall Islands	13.2	65.4	Q709
Mauritania	29	46.6	Q1025
Mauritius	87.4	93.3	Q1027
Mexico	80.7	85.4	Q96
Micronesia, Fed. Sts.	10.9	12	Q702
Moldova	68.3	92.2	Q217
Monaco	100	100	Q235
Mongolia	21.8	42.8	Q711
Montenegro	55	69.4	Q236
Morocco	89.7	96.8	Q1028
Mozambique	3.1	3.7	Q1029
Myanmar	4.7	18.4	Q836
Namibia	32.5	42.2	Q1030
Nepal	14.9	27.6	Q837
Netherlands	100	100	Q55
New Zealand	100	100	Q664
Nicaragua	34.1	52.3	Q811
Niger	1	1.9	Q1032
Nigeria	0.8	4.9	Q1033
Norway	100	100	Q20
Oman	84.6	95.2	Q842
Pakistan	22.6	43.3	Q843
Palau	64.4	86.9	Q695
Panama	78.7	89	Q804
Papua New Guinea	6.8	13.4	Q691
Paraguay	44.5	66.2	Q733
Peru	35.3	75.1	Q419
Philippines	36.3	43.2	Q928
Poland	100	100	Q36
Portugal	100	100	Q45
Qatar	92.1	98.5	Q846
Romania	64.5	85.9	Q218
Russian Federation	92.7	98.3	Q159
Rwanda	0.3	0.6	Q1037
Samoa	20.2	32.3	Q683
San Marino	100	100	Q238
Sao Tome and Principe	17.7	16.8	Q1039
Saudi Arabia	94.9	96	Q851
Senegal	31.8	31.7	Q1041
Serbia	52	76.4	Q403
Seychelles	76.8	90.4	Q1042
Sierra Leone	0.1	1	Q1044
Singapore	100	100	Q334
Slovak Republic	93.8	96.6	Q214
Slovenia	88.9	96.2	Q215
Solomon Islands	6.3	8.5	Q685
Somalia	0.6	2.3	Q1045
South Africa	56.4	84.8	Q258
South Sudan	0.5	0.6	Q958
Spain	100	100	Q29
Sri Lanka	15.6	26.3	Q854
St. Kitts and Nevis	100	100	Q763
St. Lucia	86.3	97.2	Q760
St. Vincent and the Grenadines	95.4	96	Q757
Sudan	14.2	41.3	Q1049
Suriname	79.9	89.6	Q730
Sweden	100	100	Q34
Switzerland	100	100	Q39
Syrian Arab Republic	97.2	99	Q858
Tajikistan	38.7	80.4	Q863
Tanzania	1.1	2.2	Q924
Thailand	68	74.4	Q869
Timor-Leste	2.3	6.9	Q574
Togo	0.3	6.7	Q945
Tonga	48	59.2	Q678
Trinidad and Tobago	98.7	99.3	Q754
Tunisia	93.3	99.1	Q948
Turkmenistan	96.3	99.3	Q874
Tuvalu	18.6	50.4	Q672
Uganda	1	0.8	Q1036
Ukraine	88.3	95.7	Q212
United Arab Emirates	96.6	98.5	Q878
United Kingdom	100	100	Q145
United States	100	100	Q30
Uruguay	96.1	98	Q77
Uzbekistan	79.6	92.1	Q265
Vanuatu	11.8	12.6	Q686
Venezuela, RB	96.3	96.2	Q717
Vietnam	14.4	66.9	Q881
Yemen, Rep.	51.8	64.9	Q805
Zambia	14	16.4	Q953
Zimbabwe	32.4	29.1	Q954
