Country	Both sexes	Male	Female	ID
India	2590089	1504361	1085728	Q668
Indonesia	655055	346228	308827	Q252
Iran (Islamic Republic of)	160823	87331	73492	Q794
Iraq	51593	24996	26597	Q796
Ireland	8745	4433	4311	Q27
Israel	10565	5212	5353	Q801
Italy	229802	99197	130605	Q38
Jamaica	5866	2711	3155	Q766
Japan	358702	160085	198618	Q17
Jordan	13384	7398	5986	Q810
Kazakhstan	73860	35063	38797	Q232
Kenya	21473	10425	11048	Q114
Kiribati	184	106	78	Q710
Kuwait	4552	3307	1246	Q817
Kyrgyzstan	19277	9827	9449	Q813
Lao People's Democratic Republic	12748	5793	6956	Q819
Latvia	15901	6420	9481	Q211
Lebanon	17814	9688	8126	Q822
Lesotho	4057	1499	2558	Q1013
Liberia	4745	2242	2503	Q1014
Libya	11638	6343	5295	Q1016
Lithuania	23167	9725	13442	Q37
Luxembourg	1190	554	637	Q32
Madagascar	31096	14871	16225	Q1019
Malawi	12397	5740	6657	Q1020
Malaysia	53977	30443	23534	Q833
Maldives	460	294	166	Q826
Mali	21979	9045	12935	Q912
Malta	1336	649	686	Q233
Mauritania	5152	2293	2859	Q1025
Mauritius	3336	1749	1587	Q1027
Mexico	159256	83248	76009	Q96
Micronesia (Federated States of)	208	103	105	Q702
Mongolia	7497	4205	3292	Q711
Montenegro	3786	1767	2019	Q236
Morocco	69457	32987	36470	Q1028
Mozambique	23748	10056	13692	Q1029
Myanmar	108199	48085	60115	Q836
Namibia	3283	1433	1850	Q1030
Nepal	55127	32550	22577	Q837
Netherlands	38132	17774	20358	Q55
New Zealand	9477	4725	4751	Q664
Nicaragua	7174	3439	3735	Q811
Niger	22350	10755	11595	Q1032
Nigeria	225602	102745	122857	Q1033
Norway	11616	5431	6185	Q20
Oman	4047	2588	1459	Q842
Pakistan	411569	231308	180261	Q843
Panama	5532	3129	2403	Q804
Papua New Guinea	13264	7115	6149	Q691
Paraguay	10521	5467	5054	Q733
Peru	35815	18790	17025	Q419
Philippines	233190	130495	102696	Q928
Poland	181988	83146	98842	Q36
Portugal	31045	13891	17154	Q45
Qatar	1054	843	211	Q846
Republic of Korea	63568	29376	34192	Q884
Republic of Moldova	27384	12151	15233	Q217
North Macedonia	12234	5992	6242	Q221
Romania	145284	67674	77610	Q218
Russian Federation	1022790	448096	574693	Q159
Rwanda	9139	4178	4961	Q1037
Saint Lucia	442	208	234	Q760
Saint Vincent and the Grenadines	318	167	150	Q757
Samoa	322	188	134	Q683
Sao Tome and Principe	209	84	126	Q1039
Saudi Arabia	42440	25897	16542	Q851
Senegal	16236	7290	8947	Q1041
Serbia	57465	26130	31335	Q403
Seychelles	265	144	121	Q1042
Sierra Leone	12714	5880	6835	Q1044
Singapore	8184	4523	3662	Q334
Slovakia	20548	9653	10895	Q214
Slovenia	7988	3196	4792	Q215
Solomon Islands	804	454	350	Q685
Somalia	15981	7868	8114	Q1045
South Africa	97559	48431	49127	Q258
South Sudan	12205	5750	6455	Q958
Spain	118199	53742	64458	Q29
Sri Lanka	48601	26426	22175	Q854
Sudan	80311	39881	40430	Q1049
Suriname	1326	729	598	Q730
Sweden	31646	15175	16471	Q34
Switzerland	21325	9648	11677	Q39
Syrian Arab Republic	37885	19659	18226	Q858
Tajikistan	19166	10074	9092	Q863
Thailand	124722	67182	57539	Q869
Timor-Leste	1318	661	657	Q574
Togo	10519	5113	5405	Q945
Tonga	155	89	66	Q678
Trinidad and Tobago	3945	1989	1956	Q754
Tunisia	31987	17113	14874	Q948
Turkey	156616	81368	75248	Q43
Turkmenistan	18449	9713	8736	Q874
Uganda	29643	13202	16441	Q1036
Ukraine	402391	170239	232152	Q212
United Arab Emirates	5970	4787	1183	Q878
United Kingdom of Great Britain and Northern Ireland	150442	76363	74079	Q145
United Republic of Tanzania	51617	24517	27099	Q924
United States of America	837250	432100	405150	Q30
Uruguay	9233	4242	4991	Q77
Uzbekistan	98917	52073	46845	Q265
Vanuatu	440	248	193	Q686
Venezuela (Bolivarian Republic of)	54182	30587	23595	Q717
Viet Nam	172313	95343	76969	Q881
Yemen	56793	28574	28219	Q805
Zambia	12483	5533	6950	Q953
Zimbabwe	14184	5480	8704	Q954
