Country	Savings %	ID
Maldives	4.4	Q826
Mali	3.8	Q912
Malta	4.7	Q233
Marshall Islands	6.5	Q709
Mauritania	2.9	Q1025
Mauritius	4.8	Q1027
Mexico	4.9	Q96
Micronesia, Fed. Sts.	23.6	Q702
Moldova	4.6	Q217
Monaco	1	Q235
Mongolia	4.3	Q711
Morocco	5.2	Q1028
Mozambique	5.4	Q1029
Myanmar	1.8	Q836
Namibia	2.9	Q1030
Nepal	3.2	Q837
Netherlands	5	Q55
New Caledonia	0.5	Q33788
New Zealand	7.4	Q664
Nicaragua	4.1	Q811
Niger	3.5	Q1032
Nigeria	0.9	Q1033
North Macedonia	3.3	Q221
Norway	6.7	Q20
Oman	6.5	Q842
Pakistan	2	Q843
Panama	2.8	Q804
Papua New Guinea	6.9	Q691
Paraguay	3.4	Q733
Peru	3.3	Q419
Philippines	1.8	Q928
Poland	4.6	Q36
Portugal	4.8	Q45
Puerto Rico	8.6	Q1183
Qatar	2.2	Q846
Romania	2.8	Q218
Russian Federation	3.6	Q159
Rwanda	3.2	Q1037
Samoa	4.2	Q683
San Marino	3.6	Q238
Sao Tome and Principe	3.5	Q1039
Saudi Arabia	7.2	Q851
Senegal	5	Q1041
Serbia	3.8	Q403
Seychelles	4.5	Q1042
Sierra Leone	2.7	Q1044
Singapore	2.8	Q334
Slovak Republic	3.8	Q214
Slovenia	4.3	Q215
Solomon Islands	9.9	Q685
Somalia	1	Q1045
South Africa	6	Q258
South Sudan	1.8	Q958
Spain	4	Q29
Sri Lanka	1.6	Q854
St. Kitts and Nevis	3.3	Q763
St. Lucia	3.7	Q760
St. Vincent and the Grenadines	5.2	Q757
Sudan	2.2	Q1049
Suriname	3.4	Q730
Sweden	7.2	Q34
Switzerland	4.5	Q39
Syrian Arab Republic	2.6	Q858
Tajikistan	3.8	Q863
Tanzania	3.7	Q924
Thailand	4.2	Q869
Timor-Leste	3.2	Q574
Togo	4.9	Q945
Tonga	2.9	Q678
Trinidad and Tobago	2.9	Q754
Tunisia	5.9	Q948
Turkey	3.8	Q43
Turkmenistan	2.3	Q874
Turks and Caicos Islands	2.4	Q18221
Uganda	2	Q1036
Ukraine	5.1	Q212
United Kingdom	5.5	Q145
United States	4.4	Q30
Uruguay	5	Q77
Uzbekistan	9.4	Q265
Vanuatu	4.7	Q686
Venezuela, RB	6.5	Q717
Vietnam	4.6	Q881
Virgin Islands (U.S.)	9.4	Q11703
Yemen, Rep.	3.6	Q805
Zambia	3.5	Q953
Zimbabwe	1.9	Q954
