Country	$ (2010)	$ (2019)	ID
Solomon Islands	89	123	Q685
South Africa	15676	14373	Q258
Spain	113969	157032	Q29
Sri Lanka	2454	8340	Q854
St. Kitts and Nevis	129	435	Q763
St. Lucia	368	1048	Q760
St. Vincent and the Grenadines	136	274	Q757
Sudan	212	1486	Q1049
Suriname	207	122	Q730
Sweden	53524	75734	Q34
Switzerland	92794	119597	Q39
Tajikistan	385	239	Q863
Tanzania	2001	4000	Q924
Thailand	34099	81617	Q869
Timor-Leste	31	76	Q574
Togo	289	589	Q945
Tonga	29	94	Q678
Trinidad and Tobago	869	798	Q754
Tunisia	5298	3697	Q948
Turkey	35966	64130	Q43
Uganda	1034	1752	Q1036
Ukraine	17729	16997	Q212
United Kingdom	285595	411701	Q145
United States	543546	823733	Q30
Uruguay	2654	4454	Q77
Vanuatu	271	367	Q686
Venezuela, RB	1617	1242	Q717
Vietnam	7460	14791	Q881
West Bank and Gaza	517	561	Q407199
Yemen, Rep.	1471	309	Q805
Zambia	571	1014	Q953
Zimbabwe	263	371	Q954
