Country	Total	per capita	Grants	Technical cooperation	ID
Nicaragua	352,00	54,00	163,00	35,00	Q811
Niger	1196	53	882	77	Q1032
Nigeria	3302	17	1961	237	Q1033
Pakistan	1.362,00	6,00	1.542,00	190,00	Q843
Palau	84,00	4.712,00	81,00	3,00	Q695
Panama	38,00	9,00	22,00	17,00	Q804
Papua New Guinea	786	91	269	307	Q691
Paraguay	162,00	23,00	64,00	34,00	Q733
Peru	442,00	14,00	214,00	118,00	Q419
Philippines	541,00	5,00	437,00	254,00	Q928
Rwanda	1119	91	621	73	Q1037
Samoa	115,00	587,00	90,00	28,00	Q683
Sao Tome and Principe	44	210	28	9	Q1039
Senegal	992	63	479	178	Q1041
Serbia	1.068,00	153,00	335,00	120,00	Q403
Sierra Leone	506	66	375	40	Q1044
Solomon Islands	193,00	296,00	154,00	40,00	Q685
Somalia	1.573,00	105,00	1.514,00	63,00	Q1045
South Africa	915,00	16,00	818,00	116,00	Q258
South Sudan	1.577,00	144,00	1.525,00	47,00	Q958
Sri Lanka	-258,00	-12,00	183,00	61,00	Q854
St. Lucia	9,00	47,00	5,00	3,00	Q760
St. Vincent and the Grenadines	18,00	159,00	12,00	1,00	Q757
Suriname	13,00	23,00	16,00	2,00	Q730
Eswatini	120	105	96	13	Q1050
Syrian Arab Republic	9991	591	9824	184	Q858
Tajikistan	398	44	297	28	Q863
Tanzania	2.453,00	44,00	1.607,00	132,00	Q924
Thailand	-423,00	-6,00	90,00	75,00	Q869
Timor-Leste	203	160	119	64	Q574
Togo	296	38	167	42	Q945
Tonga	87	847	64	17	Q678
Tunisia	805,00	70,00	277,00	212,00	Q948
Turkey	1.187,00	14,00	1.266,00	267,00	Q43
Turkmenistan	18,00	3,00	14,00	8,00	Q874
Tuvalu	19,00	1.635,00	10,00	6,00	Q672
Uganda	1.941,00	45,00	1.434,00	94,00	Q1036
Ukraine	1.221,00	27,00	781,00	370,00	Q212
Uzbekistan	556	17	113	41	Q265
Vanuatu	124,00	423,00	58,00	30,00	Q686
Venezuela, RB	147,00	5,00	126,00	21,00	Q717
Vietnam	1.633,00	17,00	411,00	266,00	Q881
West Bank and Gaza	2.240,00	490,00	2.114,00	120,00	Q407199
Yemen, Rep.	7985	280	7660	61	Q805
Zambia	992	57	806	79	Q953
Zimbabwe	794,00	55,00	737,00	54,00	Q954
