Country	$ (2000)	$ (2018)	ID
Switzerland	48.61	128.32	Q39
Tajikistan	0.21	0.79	Q863
Tanzania	1.32	04.08	Q924
Thailand	35.86	135.43	Q869
Timor-Leste	0.01	0.03	Q574
Togo	0.11	0.35	Q945
Tonga	0.02	0.02	Q678
Tunisia	3.47	5.69	Q948
Turkey	51.2	146.92	Q43
Turks and Caicos Islands	0.01	0.01	Q18221
Uganda	0.44	5.18	Q1036
Ukraine	5.1	15.13	Q212
United Arab Emirates	9.47	36.87	Q878
United Kingdom	223.61	252.87	Q145
United States	1549.83	2173.32	Q30
Uruguay	2.86	6.94	Q77
Vietnam	5.75	39.23	Q881
West Bank and Gaza	0.45	1.47	Q407199
Zambia	0.34	2.1	Q953
Zimbabwe	0.9	2.58	Q954
