Country	Population (2000)	Population (2016)	Urban (2016)	Rural (2016)	ID
Saudi Arabia	100	99.9	100	100	Q851
Senegal	37.7	64.5	87.7	44.5	Q1041
Serbia	100	100	100	100	Q403
Seychelles	94	100	99.9	100	Q1042
Singapore	100	100	100	100	Q334
Sint Maarten (Dutch part)	100	100	100	100	Q26273
Slovak Republic	100	100	100	100	Q214
Slovenia	100	100	100	100	Q215
Solomon Islands	4.7	58.7	70.6	55.1	Q685
Somalia	7.4	31.6	56.2	12.4	Q1045
South Africa	71.8	84.2	91.4	70.7	Q258
Spain	100	100	100	100	Q29
Sri Lanka	63.6	97.5	99	97.2	Q854
St. Kitts and Nevis	93.5	100	100	100	Q763
St. Lucia	89.9	98.1	96.5	98.4	Q760
St. Vincent and the Grenadines	79.9	99.8	96.6	100	Q757
Sudan	23	53	80.4	38.9	Q1049
Suriname	95.6	96.1	98.8	90.8	Q730
Sweden	100	100	100	100	Q34
Switzerland	100	100	100	100	Q39
Syrian Arab Republic	86.6	89.8	100	78.3	Q858
Tajikistan	98.5	99.2	99.4	99.2	Q863
Tanzania	9.6	32.8	65.3	17.3	Q924
Thailand	82.1	100	99.9	100	Q869
Timor-Leste	25.6	76.5	98.4	67.2	Q574
Togo	17	47.4	86.9	20.4	Q945
Tonga	85.5	97	98.6	96.5	Q678
Trinidad and Tobago	91.3	100	100	100	Q754
Tunisia	94.8	100	100	100	Q948
Turkmenistan	99.6	100	100	100	Q874
Turks and Caicos Islands	95.6	100	100	100	Q18221
Tuvalu	94.6	99.7	100	99.3	Q672
Uganda	7.7	26.7	57.5	17.7	Q1036
United Arab Emirates	100	100	100	100	Q878
United Kingdom	100	100	100	100	Q145
United States	100	100	100	100	Q30
Uruguay	98.5	99.7	99.8	100	Q77
Uzbekistan	99.6	100	100	100	Q265
Vanuatu	22.2	57.8	91.4	46.6	Q686
Venezuela, RB	98.9	99.4	100	94.9	Q717
Vietnam	87.2	99.2	100	98.8	Q881
Virgin Islands (U.S.)	100	100	100	100	Q11703
West Bank and Gaza	99.7	100	100	100	Q407199
Yemen, Rep.	50	70.9	97.4	56.3	Q805
Zambia	16.7	35.3	70.6	9.3	Q953
Zimbabwe	33.9	39.9	85.3	18.3	Q954
