Country	Factor (2018)	Factor (2019)	ID
Qatar	0.7	0.7	Q846
Romania	0.4	0.4	Q218
Russian Federation	0.4	0.4	Q159
Rwanda	0.4	0.3	Q1037
Samoa	0.6	0.6	Q683
San Marino	0.8	0.8	Q238
Sao Tome and Principe	0.5	0.5	Q1039
Saudi Arabia	0.5	0.5	Q851
Senegal	0.4	0.4	Q1041
Serbia	0.4	0.4	Q403
Seychelles	0.6	0.6	Q1042
Sierra Leone	0.3	0.3	Q1044
Singapore	0.7	0.6	Q334
Slovak Republic	0.6	0.6	Q214
Slovenia	0.7	0.6	Q215
Solomon Islands	0.9	0.9	Q685
South Africa	0.5	0.5	Q258
Spain	0.7	0.7	Q29
Sri Lanka	0.3	0.3	Q854
St. Kitts and Nevis	0.7	0.7	Q763
St. Lucia	0.7	0.7	Q760
St. Vincent and the Grenadines	0.6	0.6	Q757
Sudan	0.1	0.1	Q1049
Suriname	0.4	0.4	Q730
Eswatini	0.5	0.4	Q1050
Sweden	1	0.9	Q34
Switzerland	1.2	1.2	Q39
Tajikistan	0.2	0.2	Q863
Tanzania	0.4	0.4	Q924
Thailand	0.4	0.4	Q869
Timor-Leste	0.4	0.4	Q574
Togo	0.4	0.4	Q945
Tonga	0.7	0.7	Q678
Trinidad and Tobago	0.6	0.6	Q754
Tunisia	0.3	0.3	Q948
Turkey	0.3	0.3	Q43
Turkmenistan	0.5	0.5	Q874
Turks and Caicos Islands	1	1	Q18221
Tuvalu	0.9	0.9	Q672
Uganda	0.4	0.3	Q1036
Ukraine	0.2	0.3	Q212
United Arab Emirates	0.6	0.6	Q878
United Kingdom	0.9	0.9	Q145
United States	1	1	Q30
Uruguay	0.8	0.7	Q77
Uzbekistan	0.2	0.2	Q265
Vanuatu	1	0.9	Q686
Vietnam	0.3	0.3	Q881
West Bank and Gaza	0.6	0.6	Q407199
Zambia	0.4	0.4	Q953
Zimbabwe	0.5	0.5	Q954
