Country	$ (2010)	$(2019)	ID
Romania	166.2	250.1	Q218
Russian Federation	1524.9	1699.9	Q159
Rwanda	6.1	10.1	Q1037
Samoa	0.7	0.9	Q683
San Marino	1.9	1.6	Q238
Sao Tome and Principe	0.2	0.4	Q1039
Saudi Arabia	528.2	793	Q851
Senegal	16.2	23.6	Q1041
Serbia	41.8	51.4	Q403
Seychelles	1	1.7	Q1042
Sierra Leone	2.6	3.9	Q1044
Singapore	239.8	372.1	Q334
Slovak Republic	90.2	105.4	Q214
Slovenia	48.2	53.7	Q215
Solomon Islands	0.7	1.4	Q685
South Africa	375.3	351.4	Q258
Spain	1.7	1394.1	Q29
Sri Lanka	56.7	84	Q854
St. Kitts and Nevis	0.8	1.1	Q763
St. Lucia	1.5	2.1	Q760
St. Vincent and the Grenadines	0.7	0.8	Q757
Sudan	61.7	18.9	Q1049
Suriname	4.4	4	Q730
Sweden	495.8	530.8	Q34
Switzerland	583.8	703.1	Q39
Tajikistan	5.6	8.1	Q863
Tanzania	32	63.2	Q924
Thailand	341.1	543.6	Q869
Timor-Leste	0.9	1.7	Q574
Togo	3.4	5.5	Q945
Tonga	0.4	0.5	Q678
Trinidad and Tobago	22.2	24.1	Q754
Tunisia	44.1	38.8	Q948
Turkey	771.9	754.4	Q43
Turkmenistan	22.6	40.8	Q874
Turks and Caicos Islands	0.7	1	Q18221
Tuvalu	0	0	Q672
Uganda	26.5	34.4	Q1036
Ukraine	136	153.8	Q212
United Arab Emirates	289.8	421.1	Q878
United Kingdom	1.2	1.1	Q145
United States	14992.1	21427.7	Q30
Uruguay	40.3	56	Q77
Uzbekistan	46.7	57.9	Q265
Vanuatu	0.7	0.9	Q686
Vietnam	115.9	261.9	Q881
Virgin Islands (U.S.)	4.3	3.9	Q11703
West Bank and Gaza	8.9	14.6	Q407199
Yemen, Rep.	30.9	27.6	Q805
Zambia	20.3	23.1	Q953
Zimbabwe	12	21.4	Q954
