Country	Consumption (2010)	Consumption (2019)	ID
Togo	80.6	65.8	Q945
Tunisia	62.5	72.3	Q948
Turkey	63.1	57.4	Q43
Uganda	76.7	70.9	Q1036
Ukraine	63.8	75.3	Q212
United Arab Emirates	42.2	38.9	Q878
United Kingdom	64.2	64.9	Q145
United States	67.9	68	Q30
Uruguay	67	66.4	Q77
Uzbekistan	57	54.4	Q265
Vietnam	66.6	68.2	Q881
Virgin Islands (U.S.)	56	65.6	Q11703
West Bank and Gaza	93.7	89.7	Q407199
Zambia	54.6	43.2	Q953
Zimbabwe	89.8	77	Q954
