Country	Tons	Change %	From energy processes	Agricultural	ID
Ecuador	15786	43.7	22.7	65	Q736
Egypt, Arab Rep.	51977	92.6	55.3	29.3	Q79
El Salvador	3032	13.4	15.2	53.9	Q792
Equatorial Guinea	2959	2414.8	92.2	0.3	Q983
Eritrea	2894	39.8	19.6	65.6	Q986
Estonia	2235	-34.4	40.9	29	Q191
Ethiopia	64481	61.3	16.7	70.8	Q115
Faroe Islands	39	16.8	0	36	Q4628
Fiji	715	12.5	2.3	78.4	Q712
Finland	8552	-15.1	8.8	20.6	Q33
France	81179	7.2	42.6	43.5	Q142
French Polynesia	99	40.1	2.1	26.5	Q30971
Gabon	3894	11.9	53.9	3.9	Q1000
Gambia, The	1039	69.2	19.2	62.1	Q1005
Georgia	5019	-0.3	39.2	50	Q230
Germany	55721	-51.8	26.6	50.2	Q183
Ghana	21078	166	13.5	60.2	Q117
Greece	8255	6.7	22.5	45.2	Q41
Greenland	29	21.2	0	11.8	Q223
Grenada	37	48.2	15.3	21.9	Q769
Guam	71	53.8	0.1	2.6	Q16635
Guatemala	6877	43.3	19.4	53.4	Q774
Guinea	28654	228.8	4.7	46.1	Q1006
Guinea-Bissau	1421	64.9	3.5	80.1	Q1007
Guyana	2124	69.1	5.4	70.2	Q734
Haiti	4587	38.7	20	50.1	Q790
Honduras	5844	47.2	8.5	76.6	Q783
Hungary	7135	-29.1	29	31.5	Q28
Iceland	359	5	0.9	57	Q189
India	636396	23.9	17.2	62.7	Q668
Indonesia	223316	5.6	26.7	41.1	Q252
Iran, Islamic Rep.	121298	113.7	68.6	19	Q794
Iraq	24351	13.7	67.3	15.4	Q796
Ireland	14330	3.2	13.6	78.6	Q27
Israel	3416	78.8	26.4	28.6	Q801
Italy	35238	-25.3	16.7	41.7	Q38
Jamaica	1316	6.5	11.6	49.8	Q766
Japan	38957	-41.8	8.2	72.5	Q17
Jordan	2115	144.2	30.9	21.4	Q810
Kazakhstan	71350	2.8	68	21.9	Q232
Kenya	28027	37.9	28.1	56.4	Q114
Kiribati	16	60.7	5.6	7.1	Q710
Korea, Dem. Peopleâ€™s Rep.	18983	-12.2	59.1	23.3	Q423
Korea, Rep.	32625	4.2	22.6	40.6	Q884
Kuwait	12691	134.1	92.3	1.2	Q817
Kyrgyz Republic	4291	-26.3	7	73.9	Q813
Lao PDR	15011	84.4	9.7	77	Q819
Latvia	3181	-41.8	55.5	25.1	Q211
Lebanon	1150	64.7	10.9	25.2	Q822
Lesotho	1287	13.1	27.1	55.5	Q1013
Liberia	1586	78.2	55.8	18.3	Q1014
Libya	18495	10.4	88.7	4.7	Q1016
Lithuania	4806	-36.8	34.3	37.7	Q37
Luxembourg	1169	19.4	11.2	82.3	Q32
North Macedonia	1396	-16	33.5	43.9	Q221
Madagascar	20070	17.7	15.8	73.6	Q1019
Malawi	4629	14.4	32.3	37.9	Q1020
Malaysia	34271	45.1	65.9	15.2	Q833
Maldives	52	110.4	11.2	1.2	Q826
Mali	18042	91.1	4	77.2	Q912
Malta	141	-23.2	0.3	20.1	Q233
Marshall Islands	8	62.5	0	0	Q709
Mauritania	6082	71.6	8.6	83.1	Q1025
Mauritius	311	48.2	12.1	16	Q1027
Mexico	116705	18	34.2	47.2	Q96
Micronesia, Fed. Sts.	30	43.3	2.3	64	Q702
Moldova	3456	-15.4	52.5	22.7	Q217
Mongolia	6257	-24.6	7.8	87.5	Q711
Morocco	12012	30.2	11.8	49.3	Q1028
Mozambique	9968	-15.4	50.4	19.5	Q1029
Myanmar	80637	-4	13.4	77	Q836
Namibia	5097	43.5	2.6	92	Q1030
Nepal	23982	18.2	6.3	82.1	Q837
Netherlands	19026	-36.9	26.5	46.5	Q55
New Caledonia	215	6.7	1.9	73.2	Q33788
New Zealand	28658	7.4	4.1	91	Q664
Nicaragua	6492	34.9	6.8	73.7	Q811
Niger	6858	53.7	29.7	47.6	Q1032
Nigeria	89782	37.7	41.4	41.6	Q1033
Northern Mariana Islands	12	158.3	0	0	Q16644
Norway	16409	15.3	76.3	11.8	Q20
Oman	16858	173.3	92.8	3.5	Q842
Pakistan	158337	74.4	25.2	62.3	Q843
Palau	1	20.1	0	0	Q695
Panama	3378	22	4	78.6	Q804
Papua New Guinea	2143	-11.6	45.6	15	Q691
Paraguay	16246	4.8	12.3	78.4	Q733
Peru	19321	42.3	13	65.9	Q419
Philippines	57170	37.6	10.5	62.7	Q928
Poland	65071	-39.5	63	23.6	Q36
Portugal	12976	31.5	12.7	33.8	Q45
Puerto Rico	2406	31.9	0	21.5	Q1183
Qatar	41124	834.7	97.6	0.4	Q846
Romania	25708	-31.3	46.5	32.9	Q218
Russian Federation	545819	-12.7	79.5	8.2	Q159
Rwanda	2942	98.2	33.3	38.7	Q1037
Samoa	133	16.2	5.1	70.5	Q683
Sao Tome and Principe	46	60.6	40.1	12.6	Q1039
Saudi Arabia	62903	104.5	85.5	3.4	Q851
Senegal	9928	76.4	16.5	65.6	Q1041
Serbia	6589	-100	0	0	Q403
Seychelles	24	35.6	16	14	Q1042
Sierra Leone	3352	15.2	24.2	57.3	Q1044
Singapore	2386	143.3	59.2	1.4	Q334
Slovak Republic	4075	-36.8	23	33.5	Q214
Slovenia	2822	-7	38.9	36.5	Q215
Solomon Islands	1449	-29.2	1	96.8	Q685
Somalia	16206	24.1	16.6	77.9	Q1045
South Africa	63156	18.3	47.1	30.3	Q258
Spain	37208	13.4	9.2	55.5	Q29
Sri Lanka	11864	3	5.1	67.1	Q854
St. Kitts and Nevis	30	16.4	1.2	34.3	Q763
St. Lucia	44	18.2	5.4	44.7	Q760
St. Vincent and the Grenadines	40	34.1	5.2	24.7	Q757
Sudan	96531	104.8	6.4	87.9	Q1049
Suriname	709	-28.1	3.6	79.3	Q730
Eswatini	1377	21.4	11.7	57.3	Q1050
Sweden	10304	-10.6	11	28.2	Q34
Switzerland	4900	-17	21.6	64.6	Q39
Syrian Arab Republic	12783	52.5	45.4	35	Q858
Tajikistan	5408	25.8	11.8	71.3	Q863
Tanzania	27994	4.1	22.2	60.2	Q924
Thailand	106499	25.3	22.2	62.4	Q869
Timor-Leste	732	115	1.2	86.4	Q574
Togo	5343	72.9	27.9	39	Q945
Tonga	61	8.7	1.5	70.7	Q678
Trinidad and Tobago	14789	386.9	86.6	0.5	Q754
Tunisia	7647	88.4	56	31.8	Q948
Turkey	78853	79.8	19.6	31.9	Q43
Turkmenistan	22009	-26.3	76.7	20.5	Q874
Turks and Caicos Islands	6	165.8	5.7	0	Q18221
Tuvalu	3	25.6	0	35.2	Q672
Uganda	21161	72.8	22.3	65.5	Q1036
Ukraine	68061	-44.4	69.6	15	Q212
United Arab Emirates	26120	92	92.9	2.5	Q878
United Kingdom	58980	-49.8	22.6	39.5	Q145
United States	499809	-21.6	40.1	36	Q30
Uruguay	19549	24.1	3	92.8	Q77
Uzbekistan	47333	43.7	59.2	32.8	Q265
Vanuatu	254	18.8	1.4	85.4	Q686
Venezuela, RB	58199	31.9	41.2	44.1	Q717
Vietnam	113564	87.8	34.7	54.2	Q881
Virgin Islands (U.S.)	47	39.5	0	7.2	Q11703
Yemen, Rep.	8940	128.5	27.8	46.8	Q805
Zambia	6551	-77.5	40.3	38.3	Q953
Zimbabwe	8589	-16.3	12.2	69.8	Q954
