Country	Male	Female	ID
Sri Lanka	73.4	80.1	Q854
St. Lucia	74.7	77.4	Q760
St. Martin (French part)	76.7	83.2	Q126125
St. Vincent and the Grenadines	70.2	75	Q757
Sudan	63.3	66.9	Q1049
Suriname	68.4	74.9	Q730
Sweden	80.9	84.3	Q34
Switzerland	81.9	85.7	Q39
Syrian Arab Republic	66.6	77.8	Q858
Tajikistan	68.7	73.2	Q863
Tanzania	63.2	66.8	Q924
Thailand	73.2	80.7	Q869
Timor-Leste	67.3	71.4	Q574
Togo	59.9	61.6	Q945
Tonga	68.9	72.8	Q678
Trinidad and Tobago	70.8	76.1	Q754
Tunisia	74.5	78.5	Q948
Turkey	74.4	80.3	Q43
Turkmenistan	64.6	71.6	Q874
Uganda	60.7	65.2	Q1036
Ukraine	66.7	76.7	Q212
United Arab Emirates	77.1	79.2	Q878
United Kingdom	79.5	83.1	Q145
United States	76.1	81.1	Q30
Uruguay	74	81.4	Q77
Uzbekistan	69.4	73.7	Q265
Vanuatu	68.8	72	Q686
Venezuela, RB	68.4	76.1	Q717
Vietnam	71.2	79.4	Q881
Virgin Islands (U.S.)	76.3	83	Q11703
West Bank and Gaza	72.3	75.6	Q407199
Yemen, Rep.	64.4	67.8	Q805
Zambia	60.5	66.4	Q953
Zimbabwe	59.5	62.6	Q954
