Country	Male	Female	ID
Lao PDR	20	36	Q819
Latvia	0.6	0.4	Q211
Lebanon	3	4.3	Q822
Lesotho	3.4	3.2	Q1013
Liberia	7	10.1	Q1014
Libya	0.3	0.8	Q1016
Lithuania	0.6	0.8	Q37
Luxembourg	0.8	0.9	Q32
Madagascar	23.1	58.4	Q1019
Malawi	5.5	7.7	Q1020
Malaysia	2.3	7.3	Q833
Maldives	2.5	4.2	Q826
Mali	24.9	27.5	Q912
Malta	0	0.1	Q233
Mauritania	6.4	14.1	Q1025
Mauritius	1.2	3.6	Q1027
Mexico	3.1	6.8	Q96
Moldova	2.2	6	Q217
Mongolia	1.4	4.6	Q711
Montenegro	1.7	3.8	Q236
Morocco	11.6	44.8	Q1028
Mozambique	13.5	28.1	Q1029
Myanmar	16.3	35.7	Q836
Namibia	3.7	5.4	Q1030
Nepal	18	59.5	Q837
Netherlands	0.2	0.6	Q55
New Caledonia	0.2	0.3	Q33788
New Zealand	0.7	1	Q664
Nicaragua	9.6	9.1	Q811
Niger	25.9	44.5	Q1032
Nigeria	8.1	20.6	Q1033
North Macedonia	3.5	10	Q221
Norway	0.1	0.2	Q20
Oman	0.2	0.2	Q842
Pakistan	12	51.4	Q843
Panama	3.4	6.6	Q804
Papua New Guinea	22.7	49.4	Q691
Paraguay	5.1	11.2	Q733
Peru	6.9	21.5	Q419
Philippines	4.1	8.9	Q928
Poland	1.6	3.4	Q36
Portugal	0.4	0.4	Q45
Puerto Rico	0.1	0.3	Q1183
Qatar	0	0	Q846
Romania	4.5	12.4	Q218
Russian Federation	0.4	0.4	Q159
Rwanda	13.9	42.8	Q1037
Samoa	4.6	5.3	Q683
Sao Tome and Principe	3	7.3	Q1039
Saudi Arabia	0	0	Q851
Senegal	19.8	27.1	Q1041
Serbia	2.9	8.9	Q403
Sierra Leone	6.4	6.3	Q1044
Singapore	0.3	0.5	Q334
Slovak Republic	0.1	0.1	Q214
Slovenia	2.1	3.4	Q215
Solomon Islands	43.5	65.3	Q685
Somalia	35	51.5	Q1045
South Africa	0.3	0.8	Q258
South Sudan	20.9	58.4	Q958
Spain	0.3	0.4	Q29
Sri Lanka	2.7	18.1	Q854
St. Lucia	0.6	1.7	Q760
St. Vincent and the Grenadines	1.2	1.8	Q757
Sudan	8.9	39.1	Q1049
Suriname	1	2.2	Q730
Sweden	0.2	0.2	Q34
Switzerland	1.5	2.5	Q39
Syrian Arab Republic	2.1	7.1	Q858
Tajikistan	21.7	29	Q863
Tanzania	19.8	47.6	Q924
Thailand	11.9	22.9	Q869
Timor-Leste	17.2	34.6	Q574
Togo	25.5	28	Q945
Tonga	15.8	17.5	Q678
Trinidad and Tobago	0.2	0.8	Q754
Tunisia	2.4	5.2	Q948
Turkey	4.4	23.5	Q43
Turkmenistan	2.7	5.6	Q874
Uganda	12.3	18.9	Q1036
Ukraine	0.2	0.3	Q212
United Arab Emirates	0.2	1.6	Q878
United Kingdom	0.3	0.4	Q145
United States	0	0.1	Q30
Uruguay	0.4	1.2	Q77
Uzbekistan	6	12.7	Q265
Vanuatu	8.3	9.4	Q686
Venezuela, RB	1.2	2.4	Q717
Vietnam	9.7	20.6	Q881
Virgin Islands (U.S.)	0.1	0.2	Q11703
West Bank and Gaza	3.5	8.8	Q407199
Yemen, Rep.	10.7	40.1	Q805
Zambia	16.6	51.9	Q953
Zimbabwe	7.6	11	Q954
