Country	$ billions	$ per capita	ID
Dominica	5.7	5.4	Q784
Dominican Republic	5.1	4.0	Q786
Ecuador	0.1	-1.6	Q736
Egypt, Arab Rep.	5.6	3.5	Q79
El Salvador	2.4	1.9	Q792
Equatorial Guinea	-5.6	-8.8	Q983
Estonia	4.3	4.0	Q191
Eswatini	2.0	1.0	Q1050
Ethiopia	8.3	5.5	Q115
Fiji	1.1	0.3	Q712
Finland	1.0	0.9	Q33
France	1.5	1.4	Q142
Gabon	3.4	0.9	Q1000
Gambia, The	6.0	2.9	Q1005
Georgia	5.1	5.3	Q230
Germany	0.6	0.3	Q183
Ghana	6.5	4.2	Q117
Greece	1.9	2.0	Q41
Greenland	3.2	3.5	Q223
Grenada	3.1	2.6	Q769
Guam	-0.3	-1.2	Q16635
Guatemala	3.8	2.2	Q774
Guinea	5.6	2.6	Q1006
Guinea-Bissau	4.6	2.1	Q1007
Guyana	4.7	4.2	Q734
Haiti	-0.9	-2.2	Q790
Honduras	2.7	1.0	Q783
Hungary	4.9	5.0	Q28
Iceland	1.9	-0.5	Q189
India	5.0	4.0	Q668
Indonesia	5.0	3.9	Q252
Iran, Islamic Rep.	3.8	2.3	Q794
Iraq	4.4	2.1	Q796
Ireland	5.5	4.0	Q27
Isle of Man	3.6	3.2	Q9676
Israel	3.5	1.6	Q801
Italy	0.3	0.5	Q38
Jamaica	0.7	0.2	Q766
Japan	0.7	0.9	Q17
Jordan	2.0	0.5	Q810
Kazakhstan	4.5	3.2	Q232
Kenya	5.4	3.0	Q114
Kiribati	2.2	0.7	Q710
Korea, Rep.	2.0	1.8	Q884
Kosovo	4.2	4.3	Q1246
Kuwait	0.4	-1.3	Q817
Kyrgyz Republic	4.5	2.3	Q813
Lao PDR	4.7	3.1	Q819
Latvia	2.2	3.0	Q211
Lebanon	-5.6	-5.7	Q822
Lesotho	1.5	0.7	Q1013
Liberia	-2.3	-4.6	Q1014
Libya	2.5	1.0	Q1016
Lithuania	3.9	4.5	Q37
Luxembourg	2.3	0.3	Q32
Madagascar	4.8	2.1	Q1019
Malawi	4.4	1.6	Q1020
Malaysia	4.3	3.0	Q833
Maldives	5.2	2.2	Q826
Mali	5.0	1.9	Q912
Malta	4.4	0.6	Q233
Marshall Islands	3.6	3.0	Q709
Mauritania	5.9	3.1	Q1025
Mauritius	3.6	3.5	Q1027
Mexico	-0.1	-1.2	Q96
Micronesia, Fed. Sts.	0.2	-0.8	Q702
Moldova	3.5	5.3	Q217
Monaco	6.1	5.3	Q235
Mongolia	5.1	3.3	Q711
Montenegro	3.6	3.6	Q236
Morocco	2.3	1.0	Q1028
Mozambique	2.2	-0.7	Q1029
Myanmar	2.9	2.2	Q836
Namibia	-1.1	-3.0	Q1030
Nauru	0.0	1.0	Q697
Nepal	7.0	5.0	Q837
Netherlands	1.8	1.2	Q55
New Zealand	2.2	0.6	Q664
Nicaragua	-3.9	-5.1	Q811
Niger	5.8	1.9	Q1032
Nigeria	2.2	-0.4	Q1033
North Macedonia	3.6	3.5	Q221
Northern Mariana Islands	-19.6	-20.1	Q16644
Norway	1.2	0.5	Q20
Oman	0.5	-2.4	Q842
Pakistan	1.0	-1.0	Q843
Palau	1.7	1.1	Q695
Panama	3.0	1.3	Q804
Papua New Guinea	5.6	3.6	Q691
Paraguay	0.0	-1.3	Q733
Peru	2.2	0.5	Q419
Philippines	6.0	4.6	Q928
Poland	4.1	4.2	Q36
Portugal	2.2	2.3	Q45
Puerto Rico	1.2	1.2	Q1183
Qatar	-0.2	-2.0	Q846
Romania	4.1	4.7	Q218
Russian Federation	1.3	1.4	Q159
Rwanda	9.4	6.6	Q1037
Samoa	3.5	3.0	Q683
San Marino	1.2	0.8	Q238
Sao Tome and Principe	2.4	0.5	Q1039
Saudi Arabia	0.3	-1.3	Q851
Senegal	5.3	2.4	Q1041
Serbia	4.2	4.8	Q403
Seychelles	4.7	3.8	Q1042
Sierra Leone	5.5	3.3	Q1044
Singapore	0.7	-0.4	Q334
Sint Maarten (Dutch part)	-8.4	-9.8	Q26273
Slovak Republic	2.4	2.3	Q214
Slovenia	2.4	1.8	Q215
Solomon Islands	2.7	0.1	Q685
South Africa	0.2	-1.2	Q258
Spain	2.0	1.4	Q29
Sri Lanka	2.3	1.7	Q854
St. Kitts and Nevis	2.5	1.8	Q763
St. Lucia	1.7	1.2	Q760
St. Vincent and the Grenadines	0.3	0.0	Q757
Sudan	-2.6	-4.9	Q1049
Suriname	-0.8	-1.7	Q730
Sweden	1.2	0.1	Q34
Switzerland	0.9	0.2	Q39
Tajikistan	7.0	4.5	Q863
Tanzania	5.8	2.7	Q924
Thailand	2.4	2.1	Q869
Timor-Leste	3.4	1.4	Q574
Togo	5.3	2.8	Q945
Tonga	0.3	-0.9	Q678
Trinidad and Tobago	0.0	-0.4	Q754
Tunisia	1.0	-0.1	Q948
Turkey	0.9	-0.5	Q43
Turkmenistan	6.2	4.5	Q874
Turks and Caicos Islands	5.3	3.7	Q18221
Tuvalu	9.8	8.5	Q672
Uganda	6.5	2.8	Q1036
Ukraine	3.2	3.8	Q212
United Arab Emirates	1.7	0.2	Q878
United Kingdom	1.4	0.8	Q145
United States	2.3	1.8	Q30
Uruguay	0.2	-0.1	Q77
Uzbekistan	5.6	3.6	Q265
Vanuatu	2.9	0.4	Q686
Vietnam	7.0	6.0	Q881
Virgin Islands (U.S.)	-1.7	-1.5	Q11703
West Bank and Gaza	0.9	-1.6	Q407199
Yemen, Rep.	0.8	-1.6	Q805
Zambia	1.7	-1.2	Q953
Zimbabwe	-8.1	-9.4	Q954
