Country	Consumption (2010)	Consumption (2019)	ID
Germany	74.7	72.6	Q183
Ghana	100.7	77.9	Q117
Greece	91.6	87.5	Q41
Greenland	90	80.3	Q223
Guatemala	96.6	96	Q774
Guinea	92.5	82	Q1006
Guinea-Bissau	109.5	101.2	Q1007
Guyana	102.5	76.3	Q734
Haiti	124	113	Q790
Honduras	96	93.8	Q783
Hungary	74.1	67.7	Q28
Iceland	76.2	75.1	Q189
India	65.7	72	Q668
Indonesia	65.2	66.7	Q252
Iran, Islamic Rep.	53.7	61.1	Q794
Iraq	63.4	84.7	Q796
Ireland	66.4	42.4	Q27
Israel	79.3	77.8	Q801
Italy	81.3	79	Q38
Jamaica	98	89.8	Q766
Japan	77.2	75.4	Q17
Jordan	90	100.7	Q810
Kazakhstan	56.2	61.6	Q232
Kenya	91.3	95.5	Q114
Kiribati	151.3	150.7	Q710
Korea, Rep.	64.6	65.8	Q884
Kosovo	102.6	98.6	Q1246
Kuwait	46	61.8	Q817
Kyrgyz Republic	102.7	98.9	Q813
Latvia	81.5	77.8	Q211
Lebanon	100.1	101.9	Q822
Lesotho	133	112.9	Q1013
Liberia	154	147.2	Q1014
Lithuania	83.9	77.7	Q37
Luxembourg	49.2	46.6	Q32
Madagascar	87.1	84.9	Q1019
Malawi	89.3	93.1	Q1020
Malaysia	60.7	71.5	Q833
Mali	88.3	88.1	Q912
Malta	77.3	59.8	Q233
Marshall Islands	130.9	129.9	Q709
Mauritania	69.7	69.6	Q1025
Mauritius	87	90.5	Q1027
Mexico	77.1	77	Q96
Moldova	108.4	98.4	Q217
Mongolia	67.9	67.5	Q711
Montenegro	103.9	90.2	Q236
Morocco	76.7	77	Q1028
Mozambique	92	92.2	Q1029
Myanmar	67.3	70.4	Q836
Namibia	88.8	99.1	Q1030
Nepal	88.5	81	Q837
Netherlands	71.7	68.1	Q55
New Zealand	77.6	75.9	Q664
Nicaragua	94.6	87.7	Q811
Niger	87.1	85.7	Q1032
Nigeria	76	82.2	Q1033
North Macedonia	93.8	79.8	Q221
Norway	63.3	69.3	Q20
Oman	51.8	65	Q842
Pakistan	90	94.6	Q843
Palau	107.4	101.8	Q695
Panama	70	63	Q804
Paraguay	73.3	77.4	Q733
Peru	72.3	77.9	Q419
Philippines	79.9	85.7	Q928
Poland	80.7	75.2	Q36
Portugal	86.5	81	Q45
Puerto Rico	68.7	71.5	Q1183
Qatar	30.2	41.9	Q846
Romania	79.3	80.9	Q218
Russian Federation	70.2	68.7	Q159
Rwanda	95.3	89.5	Q1037
Saudi Arabia	52.5	62.8	Q851
Senegal	93.2	82.1	Q1041
Serbia	94.6	85.2	Q403
Seychelles	77.6	85.3	Q1042
Sierra Leone	86.6	108.2	Q1044
Singapore	46	46.2	Q334
Sint Maarten (Dutch part)	85.4	91.8	Q26273
Slovak Republic	76.4	75.7	Q214
Slovenia	76.6	70.1	Q215
South Africa	79.2	81.5	Q258
Spain	78.7	76.3	Q29
Sri Lanka	76.9	78.7	Q854
Sudan	77.6	78.1	Q1049
Sweden	71.9	71.3	Q34
Switzerland	65.5	65	Q39
Tajikistan	122.3	100.2	Q863
Tanzania	76.4	67.9	Q924
Thailand	68	66.2	Q869
Timor-Leste	174.6	123.5	Q574
Togo	93.9	83.9	Q945
Tunisia	79.2	93	Q948
Turkey	78	73.1	Q43
Uganda	85.1	78.7	Q1036
Ukraine	83.2	95.2	Q212
United Arab Emirates	52.3	52.2	Q878
United Kingdom	85.9	83.8	Q145
United States	84.7	82.1	Q30
Uruguay	79.6	81.4	Q77
Uzbekistan	70.4	70.8	Q265
Vietnam	72.6	74.6	Q881
West Bank and Gaza	121.8	115.9	Q407199
Zambia	64	56	Q953
Zimbabwe	105.1	102.7	Q954
