Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish	ID
Greenland	60	96.0	0.12	0.0	0.00	0.00	1.00	1.10	0.00	Q223
Saint Pierre and Miquelon	6	94.7	0.20	3.8	0.00	0.00	0.00	1.30	0.00	Q34617
United States	330,000,000	78.3	1.10	16.4	0.60	1.20	0.20	0.60	1.80	Q30
Mexico	128,645,200	95.1	0.10	4.7	0.00	0.07	0.06	0.02	0.06	Q96
Argentina	40,410,000	85.2	1.00	12.2	0.00	0.05	0.80	0.30	0.50	Q414
Bolivia	9,930,000	93.9	0.10	4.1	0.00	0.00	0.90	1.00	0.00	Q750
Brazil	194,950,000	95.9	0.80	7.9	0.00	0.10	2.80	0.20	0.06	Q155
Chile	17,110,000	89.4	0.10	8.6	0.00	0.06	1.50	0.20	0.10	Q298
Colombia	50,290,000	86.0	0.20	11.0	0.01	0.01	1.0	2.0	0.01	Q739
Ecuador	14,460,000	94.1	0.01	5.5	0.00	0.00	0.30	0.00	0.00	Q736
Falkland Islands	3	67.2	0.30	31.5	0.00	0.20	0.00	0.80	0.00	Q9648
French Guiana	230	84.4	1.00	3.4	1.60	0.00	9.10	0.50	0.00	Q3769
Guyana	850	66.0	7.20	2.0	27.90	0.00	0.20	0.60	0.00	Q734
Paraguay	6,450,000	96.9	0.10	1.1	0.00	0.00	1.70	0.20	0.00	Q733
Peru	29,080,000	93.0	0.01	6.5	0.01	0.20	1.00	0.30	0.00	Q419
Suriname	520	51.6	15.20	5.4	19.80	0.60	5.30	1.80	0.20	Q730
Uruguay	3,370,000	57.9	0.10	40.7	0.00	0.00	0.80	0.30	0.30	Q77
Venezuela	28,980,000	89.3	0.30	10.0	0.00	0.00	0.20	0.07	0.00	Q717
Mainland China	1,341,340,000	5.1	1.80	52.2	0.00	18.20	21.90	0.70	0.00	Q148
Hong Kong	7,050,000	14.3	1.80	56.1	0.40	13.20	12.80	1.50	0.00	Q8646
Macau	540	7.2	0.20	15.4	0.00	17.30	58.90	1.00	0.00	Q14773
Taiwan	23,220,000	5.5	0.04	12.7	0.00	21.30	44.20	16.20	0.00	Q865
Japan	126,540,000	1.6	0.20	57.0	0.02	36.20	0.40	4.70	0.00	Q17
North Korea	24,350,000	2.0	0.00	71.3	0.00	1.50	12.30	12.90	0.00	Q423
South Korea	48,180,000	29.4	0.20	46.4	0.00	22.90	0.80	0.20	0.00	Q884
Mongolia	2,760,000	2.3	3.20	35.9	0.00	55.10	3.50	0.00	0.00	Q711
Brunei	400	9.4	75.10	0.4	0.30	8.60	6.20	0.10	0.00	Q921
Cambodia	14,140,000	0.4	2.00	0.2	0.00	96.90	0.60	0.00	0.00	Q424
Indonesia	239,870,000	9.9	87.20	0.1	1.70	0.70	0.30	0.10	0.00	Q252
Laos	6,200,000	1.5	0.00	0.9	0.00	66.00	30.70	0.70	0.00	Q819
Malaysia	28,400,000	9.4	63.70	0.7	6.00	17.70	2.30	0.20	0.00	Q833
Myanmar	47,960,000	7.8	4.00	0.5	1.70	80.10	5.80	0.20	0.00	Q836
Philippines	105,000,000	85.0	5.50	7.0	0.00	1.50	1.50	0.10	0.03	Q928
Singapore	5,090,000	18.2	14.30	16.4	5.20	33.90	2.30	9.70	0.00	Q334
Thailand	69,120,000	0.9	5.50	0.3	0.10	93.20	0.09	0.00	0.00	Q869
Timor-Leste	1,120,000	99.6	0.10	0.0	0.00	0.00	0.10	0.00	0.00	Q574
Vietnam	94,700,000	8.2	0.20	29.6	0.16	16.40	45.30	0.40	0.00	Q881
Afghanistan	31,410,000	0.1	99.70	0.0	0.03	0.00	0.00	0.06	0.00	Q889
Bangladesh	165,870,000	0.2	90	0.05	9.10	0.50	0.40	0.02	0.00	Q902
Bhutan	730	0.5	0.20	0.0	22.60	74.70	1.90	0.00	0.00	Q917
India	1,224,610,000	2.5	14.40	0.07	79.50	0.80	0.50	2.30	0.00	Q668
Maldives	320	0.4	98.40	0.0	0.30	0.60	0.00	0.00	0.00	Q826
Nepal	29,960,000	0.5	4.60	0.3	80.70	10.30	3.70	0.07	0.00	Q837
Pakistan	211,100,000	1.6	96.40	0.01	1.90	0.01	0.02	0.01	0.00	Q843
Sri Lanka	20,860,000	7.3	9.80	0.0	13.60	70.30	0.00	0.00	0.00	Q854
Kazakhstan	16,030,000	24.8	70.4	4.2	< 0.1	0.2	0.3	0.1	< 0.1	Q232
Kyrgyzstan	5,330,000	11.4	88.0	0.4	< 0.1	< 0.1	0.1	< 0.1	< 0.1	Q813
Tajikistan	6,880,000	1.6	96.7	1.5	< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	Q863
Turkmenistan	5,040,000	6.4	93.0	0.5	< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	Q874
Uzbekistan	27,440,000	2.3	96.7	0.8	< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	Q265
Bahrain	1,260,000	14.5	70.30	1.9	9.80	2.50	0.00	0.20	0.60	Q398
Iraq	31,670,000	0.8	99.00	0.1	0.00	0.00	0.00	0.06	0.00	Q796
Israel	7,420,000	2.0	18.60	3.1	0.00	0.30	0.20	0.10	75.60	Q801
Jordan	6,190,000	2.2	97.20	0.0	0.10	0.40	0.00	0.00	0.00	Q810
Kuwait	2,740,000	14.3	74.10	0.0	8.50	2.80	0.00	0.30	0.00	Q817
Lebanon	4,230,000	47.3	55.30	0.3	0.00	0.20	0.00	0.00	0.00	Q822
Oman	2,780,000	6.5	85.90	0.2	5.50	0.80	0.00	1.00	0.00	Q842
Palestine	4,040,000	2.4	97.60	0.0	0.00	0.00	0.00	0.00	0.00	Q219060
Qatar	1,760,000	13.8	67.70	0.9	13.80	3.10	0.00	0.70	0.00	Q846
Saudi Arabia	27,450,000	4.4	93.00	0.7	1.10	0.30	0.30	0.30	0.00	Q851
Syria	20,410,000	5.2	92.80	2.0	0.00	0.00	0.00	0.00	0.00	Q858
United Arab Emirates	7,510,000	12.6	76.90	1.1	6.60	2.00	0.00	0.80	0.00	Q878
Yemen	24,050,000	0.2	99.10	0.1	0.60	0.00	0.00	0.00	0.00	Q805
Armenia	3,090,000	98.5	0.00	1.3	0.00	0.00	0.00	0.10	0.00	Q399
Azerbaijan	9,190,000	3.0	96.90	0.0	0.00	0.00	0.00	0.00	0.00	Q227
Cyprus	1,100,000	73.2	25.30	1.2	0.00	0.20	0.00	0.00	0.00	Q229
Iran	73,970,000	0.2	99.50	0.1	0.03	0.00	0.00	0.20	0.00	Q794
Turkey	72,750,000	0.4	98.00	1.2	0.00	0.05	0.03	0.20	0.03	Q43
Austria	8,390,000	80.4	5.40	13.5	0.00	0.20	0.00	0.10	0.20	Q40
Croatia	4,400,000	93.4	1.40	5.1	0.00	0.00	0.00	0.00	0.00	Q224
Czech Republic	10,490,000	23.3	0.0	76.4	0.00	0.00	0.00	0.00	0.00	Q213
Germany	82,300,000	68.7	5.80	24.7	0.00	0.30	0.00	0.10	0.30	Q183
Hungary	9,980,000	81.0	0.00	18.6	0.00	0.00	0.00	0.00	0.10	Q28
Liechtenstein	40	91.9	5.00	2.9	0.00	0.00	0.00	0.00	0.10	Q347
Poland	38,280,000	94.3	0.00	5.6	0.00	0.00	0.00	0.00	0.00	Q36
Romania	21,490,000	99.5	0.30	0.1	0.00	0.00	0.00	0.00	0.00	Q218
Slovakia	5,460,000	85.3	0.20	14.3	0.00	0.00	0.00	0.00	0.00	Q214
Slovenia	2,030,000	78.4	3.60	18.0	0.00	0.00	0.00	0.00	0.00	Q215
Switzerland	7,660,000	81.3	5.50	11.9	0.40	0.40	0.00	0.10	0.30	Q39
Belarus	9,600,000	71.2	0.20	28.6	0.00	0.00	0.00	0.00	0.00	Q184
Georgia	4,350,000	88.5	10.70	0.7	0.00	0.00	0.00	0.00	0.00	Q230
Russia	142,960,000	73.3	10.00	16.2	0.00	0.10	0.20	0.00	0.20	Q159
Ukraine	45,450,000	83.8	1.20	14.7	0.00	0.00	0.00	0.00	0.10	Q212
Denmark	5,550,000	83.5	4.10	11.8	0.40	0.20	0.00	0.00	0.00	Q35
Faroe Islands	50	98.0	0.00	1.7	0.00	0.00	0.00	0.30	0.00	Q4628
Estonia	1,340,000	39.9	0.20	59.6	0.00	0.00	0.00	0.00	0.10	Q191
Finland	5,360,000	81.6	0.80	17.6	0.00	0.00	0.00	0.00	0.00	Q33
Iceland	320	95.0	0.20	3.5	0.30	0.40	0.50	0.20	0.00	Q189
Latvia	2,250,000	55.8	0.10	43.8	0.00	0.00	0.00	0.20	0.00	Q211
Lithuania	3,320,000	89.8	0.10	10.0	0.00	0.00	0.00	0.00	0.00	Q37
Norway	4,880,000	84.7	3.70	10.1	0.50	0.60	0.00	0.20	0.00	Q20
Sweden	9,380,000	76.2	4.60	27.0	0.20	0.40	0.20	0.20	0.10	Q34
Albania	3,200,000	18.0	80.30	1.4	0.00	0.00	0.00	0.20	0.00	Q222
Bosnia and Herzegovina	3,760,000	52.3	45.20	2.5	0.00	0.00	0.00	0.00	0.00	Q225
Bulgaria	7,490,000	82.1	13.70	4.2	0.00	0.00	0.00	0.00	0.00	Q219
Greece	11,360,000	88.1	5.30	6.1	0.10	0.00	0.10	0.00	0.00	Q41
Kosovo	2,080,000	11.4	87.00	1.6	0.00	0.00	0.00	0.00	0.00	Q1246
Moldova	3,570,000	97.4	0.60	1.4	0.00	0.00	0.00	0.00	0.60	Q217
Montenegro	630	78.1	18.70	3.2	0.00	0.00	0.00	0.00	0.00	Q236
North Macedonia	2,060,000	59.3	39.30	1.4	0.00	0.00	0.00	0.00	0.00	Q221
Serbia	7,770,000	92.5	4.20	3.3	0.00	0.00	0.00	0.00	0.00	Q403
Andorra	80	89.5	0.80	8.8	0.50	0.00	0.00	0.10	0.30	Q228
Gibraltar	30	88.8	4.00	2.9	1.80	0.00	0.00	0.30	2.10	Q1410
Italy	60,550,000	83.3	3.70	12.4	0.10	0.20	0.10	0.10	0.08	Q38
Malta	420	97.0	0.20	2.5	0.20	0.00	0.00	0.00	0.00	Q233
Portugal	10,680,000	93.8	0.60	4.4	0.10	0.60	0.50	0.00	0.00	Q45
San Marino	30	91.6	0.00	7.2	0.00	0.00	0.00	0.90	0.30	Q238
Spain	46,080,000	78.6	2.10	19.0	0.04	0.00	0.04	0.02	0.10	Q29
Vatican City	800	100.0	0.00	0.0	0.00	0.00	0.00	0.00	0.00	Q237
Belgium	10,710,000	64.25	5.90	29.0	0.00	0.20	0.20	0.00	0.30	Q31
France	62,790,000	63.0	7.50	28.0	0.05	0.50	0.30	0.20	0.50	Q142
Ireland	4,470,000	92.0	1.10	6.2	0.20	0.20	0.20	0.00	0.00	Q27
Isle of Man	80	84.1	0.20	15.4	0.20	0.00	0.00	0.00	0.00	Q9676
Luxembourg	510	70.4	2.30	26.8	0.00	0.00	0.00	0.30	0.10	Q32
Monaco	40	86.0	0.40	11.7	0.00	0.00	0.00	0.20	1.70	Q235
Netherlands	16,610,000	50.6	6.00	42.1	0.50	0.20	0.20	0.20	0.20	Q55
United Kingdom	62,040,000	71.1	4.40	21.3	1.30	0.40	0.30	0.80	0.50	Q145
Australia	22,800,000	67.0	2.80	24.2	1.2	2.7	0.7	0.8	0.5	Q408
New Zealand	4,370,000	57.0	1.20	36.6	2.10	1.60	0.50	0.70	0.20	Q664
Fiji	860	64.4	6.40	0.8	27.90	0.00	0.00	0.50	0.00	Q712
New Caledonia	250	85.2	2.80	10.4	0.00	0.60	0.20	0.80	0.00	Q33788
Papua New Guinea	6,860,000	99.2	3	0.0	0.00	0.00	0.40	0.20	0.00	Q691
Solomon Islands	540	97.4	0.10	0.2	0.00	0.30	1.30	0.70	0.00	Q685
Vanuatu	240	93.3	0.10	1.2	0.00	0.00	4.10	1.40	0.00	Q686
Guam	180	94.2	0.10	1.6	0.00	1.10	1.50	1.60	0.00	Q16635
Kiribati	100	97.0	0.20	0.8	0.00	0.00	0.00	2.00	0.00	Q710
Marshall Islands	50	97.5	0.20	1.5	0.00	0.00	0.10	0.80	0.00	Q709
Micronesia	110	95.2	0.10	1.0	0.00	0.40	2.60	0.70	0.00	Q702
Nauru	10	79.0	0.01	4.5	0.00	1.10	8.10	7.40	0.00	Q697
Northern Mariana Islands	60	81.3	0.70	1.0	0.00	10.60	5.30	1.10	0.00	Q16644
Palau	20	86.8	0.10	1.2	0.00	0.80	0.80	10.20	0.00	Q695
American Samoa	70	98.3	0.10	0.7	0.00	0.30	0.40	0.30	0.00	Q16641
Cook Islands	20	96.0	0.00	3.2	0.00	0.00	0.00	0.80	0.00	Q26988
French Polynesia	270	94.0	0.10	4.8	0.00	0.00	0.50	0.40	0.00	Q30971
Niue	2	96.4	0.10	3.2	0.00	0.00	0.00	0.20	0.00	Q34020
Samoa	180	96.8	0.10	2.5	0.00	0.00	0.00	0.30	0.00	Q683
Tokelau	1,4	99.8	0.00	0.0	0.00	0.00	0.00	0.20	0.00	Q36823
Tonga	100	99.0	0.10	0.0	0.10	0.00	0.00	0.80	0.00	Q678
Tuvalu	11	99.8	0,2	0.0	0	0	0	0	0	Q672
Wallis and Futuna	13	97.4	0.00	0.6	0.00	0.00	1.20	0.80	0.00	Q35555
