Country	Income (2010)	Income (2019)	ID
St. Lucia	15	8	Q760
St. Vincent and the Grenadines	10	44	Q757
Sudan	2167	375	Q1049
Suriname	87	90	Q730
Sweden	-8166	-10226	Q34
Switzerland	-8419	-11347	Q39
Tajikistan	593	650	Q863
Tanzania	1051	469	Q924
Thailand	6116	7283	Q869
Timor-Leste	484	-70	Q574
Togo	356	422	Q945
Tonga	91	174	Q678
Trinidad and Tobago	29	-96	Q754
Tunisia	1935	1767	Q948
Turkey	1475	974	Q43
Uganda	1362	1814	Q1036
Ukraine	2975	6308	Q212
United Kingdom	-30962	-35194	Q145
United States	-104261	-138923	Q30
Uruguay	140	190	Q77
Vanuatu	22	21	Q686
Vietnam	7885	8857	Q881
West Bank and Gaza	1991	1774	Q407199
Zambia	432	331	Q953
Zimbabwe	1498	1697	Q954
