Country	Active military	Reserve military	Paramilitary	Total	Per 1,000 capita (total)	Per 1,000 capita (active)	ID
Republic of the Congo	10	0	2	12	2.4	2.0	Q971
Romania	69,3	50	57	176,3	8.2	3.2	Q218
Russia	900	2,000,000	554	3,454,000	24.3	6.3	Q159
Rwanda	33	0	2	35	2.9	2.7	Q1037
Saudi Arabia	227	0	24,5	251,5	7.6	6.9	Q851
Senegal	13,6	0	5	18,6	1.2	0.9	Q1041
Serbia	28,15	50,15	3,7	82	11.6	4.0	Q403
Seychelles	420	0	0	420	4.4	4.4	Q1042
Sierra Leone	8,5	0	0	8,5	1.3	1.3	Q1044
Singapore	72,5	1,386,000	9,591	1,468,091	244.8	12.1	Q334
Slovakia	15,85	0	0	15,85	2.9	2.9	Q214
Slovenia	7,25	1,5	5,95	14,7	7.0	3.4	Q215
Somalia	19,8	0	0	19,8	1.8	1.8	Q1045
South Africa	65,35	15,05	0	80,4	1.5	1.2	Q258
South Korea	599	3,100,000	3,009,000	6,708,000	130.5	11.6	Q884
South Sudan	185	0	0	185	18.1	18.1	Q958
Spain	120,35	15,15	75,8	211,3	4.4	2.5	Q29
Sri Lanka	255	5,5	92,6	353,1	15.6	11.3	Q854
Sudan	104,3	85	20	209,3	4.9	2.4	Q1049
Suriname	1,84	0	0	1,84	3.1	3.1	Q730
Sweden	29,75	0	21,2	50,95	5.1	3.0	Q34
Switzerland	21,45	217,8	0	239,25	28.9	2.6	Q39
Syria	139	0	100	239	12.3	7.1	Q858
Taiwan	163	1,657,000	11,45	1,831,450	77.8	6.9	Q865
Tajikistan	8,8	0	7,5	16,3	1.9	1.0	Q863
Tanzania	27	80	1,4	108,4	2.0	0.5	Q924
Thailand	360,85	200	138,7	699,55	10.2	5.3	Q869
Togo	8,55	0	750	9,3	1.1	1.0	Q945
Trinidad and Tobago	4,05	0	0	4,05	3.3	3.3	Q754
Tunisia	35,8	0	12	47,8	4.2	3.1	Q948
Turkey	355,2	378,7	156,8	890,7	11.0	4.4	Q43
Turkmenistan	36,5	0	5	41,5	7.7	6.7	Q874
Uganda	45	10	1,4	56,4	1.4	1.1	Q1036
Ukraine	209	900	88	1,197,000	27.2	4.8	Q212
United Arab Emirates	63	0	0	63	6.5	6.5	Q878
United Kingdom	148,35	80	0	228,35	3.5	2.3	Q145
United States	1,359,450	845,6	0	2,205,050	6.7	4.1	Q30
Uruguay	21	0	1,4	22,4	6.6	6.2	Q77
Uzbekistan	48	0	20	68	2.3	1.6	Q265
Venezuela	123	8	220	351	11.1	3.9	Q717
Vietnam	482	0	5,040,000	5,522,000	56.9	5.0	Q881
Yemen	40	0	0	40	1.4	1.4	Q805
Zambia	15,1	3	1,4	19,5	1.2	0.9	Q953
Zimbabwe	29	0	21,8	50,8	3.6	2.1	Q954
