Country	%_2000	%_2018	ID
Madagascar	7	2.8	Q1019
Malawi	8.5	8	Q1020
Malaysia	10	11.9	Q833
Maldives	5.1	11.3	Q826
Mali	8.3	17	Q912
Malta	10.5	6.9	Q233
Mauritania	15.3	16.5	Q1025
Mauritius	29.4	30.8	Q1027
Mexico	6.2	7.6	Q96
Moldova	15.4	7.2	Q217
Mongolia	9.7	21.2	Q711
Montenegro	64	23.6	Q236
Morocco	17	22.8	Q1028
Mozambique	3.9	6.7	Q1029
Myanmar	1.5	4.7	Q836
Namibia	42.8	38.5	Q1030
Nepal	2	1.7	Q837
Netherlands	5.9	6.7	Q55
New Caledonia	46.9	36.3	Q33788
New Zealand	12.4	10.8	Q664
Nicaragua	14.4	14.4	Q811
Niger	1.9	0.4	Q1032
Nigeria	8.7	18.1	Q1033
North Macedonia	61.1	43.2	Q221
Norway	11.2	8.6	Q20
Oman	15	33.5	Q842
Pakistan	0.7	6.8	Q843
Panama	10.6	15.4	Q804
Papua New Guinea	4.4	3.3	Q691
Paraguay	22	12.1	Q733
Peru	8.7	8.4	Q419
Philippines	12	8.1	Q928
Poland	37.1	12	Q36
Portugal	11.8	20.8	Q45
Puerto Rico	15.9	16.7	Q1183
Qatar	10.4	1.8	Q846
Romania	15.8	16.3	Q218
Russian Federation	22.2	18	Q159
Rwanda	0.9	2.1	Q1037
Samoa	14.2	22.3	Q683
Sao Tome and Principe	26.6	31.5	Q1039
Saudi Arabia	33	62.7	Q851
Senegal	11.8	8.7	Q1041
Serbia	30	31.8	Q403
Sierra Leone	3.5	5.6	Q1044
Singapore	9.7	12.3	Q334
Slovak Republic	33.3	16.1	Q214
Slovenia	18.4	9.5	Q215
Solomon Islands	3.5	1.4	Q685
Somalia	17.8	16.7	Q1045
South Africa	59	59.2	Q258
South Sudan	17.9	17.5	Q958
Spain	32.2	33.3	Q29
Sri Lanka	30.7	29.4	Q854
St. Lucia	38	51.9	Q760
St. Vincent and the Grenadines	41.3	43.9	Q757
Sudan	29	42.9	Q1049
Suriname	52	21.6	Q730
Sweden	7.9	15.5	Q34
Switzerland	4.1	7.4	Q39
Syrian Arab Republic	31	46.6	Q858
Tajikistan	25.9	20.3	Q863
Tanzania	5.3	4.3	Q924
Thailand	6.2	4.7	Q869
Timor-Leste	12.5	15.1	Q574
Togo	7.4	3.6	Q945
Tonga	13.6	6.7	Q678
Trinidad and Tobago	8.2	6.1	Q754
Tunisia	27.6	38.3	Q948
Turkey	11.9	24.6	Q43
Turkmenistan	18.5	5.6	Q874
Uganda	5.3	3	Q1036
Ukraine	20.7	19.4	Q212
United Arab Emirates	6.3	13.1	Q878
United Kingdom	10.3	10.2	Q145
United States	8.8	7.6	Q30
Uruguay	34.6	30.8	Q77
Uzbekistan	22.6	11.8	Q265
Vanuatu	9.1	9	Q686
Venezuela, RB	26.8	21.6	Q717
Vietnam	4.2	7.3	Q881
Virgin Islands (U.S.)	26	28.5	Q11703
West Bank and Gaza	16.7	69.1	Q407199
Yemen, Rep.	14.3	34.1	Q805
Zambia	20.3	22.4	Q953
Zimbabwe	9.3	9.4	Q954
