Country	Urban (2000)	Urban (2017)	Rural (2000)	Rural (2017)	ID
Romania	93.2	95.3	54.5	71.5	Q218
Russian Federation	93.7	94.8	55	78.1	Q159
Rwanda	63.3	51.9	42.3	69.6	Q1037
Samoa	99.1	98.5	97.1	98.1	Q683
Sao Tome and Principe	26.2	47.6	13.7	31	Q1039
Senegal	63.1	65	22.6	39.6	Q1041
Serbia	96.1	99.5	94.3	95.1	Q403
Sierra Leone	20.4	25.7	4.5	8.5	Q1044
Slovak Republic	98.8	98.9	96.6	96.8	Q214
Slovenia	99.1	99.1	99.1	99.1	Q215
Solomon Islands	61.7	77.9	12.7	20.1	Q685
Somalia	44.7	61.1	7.2	20.2	Q1045
South Africa	71.1	76.3	42.5	74.7	Q258
Spain	99.9	99.9	100	100	Q29
Sri Lanka	84.6	94.8	84.7	96	Q854
St. Lucia	82.7	77.8	81	90.8	Q760
Sudan	40.5	60.1	11	24.2	Q1049
Suriname	89.3	89.4	59.2	74.8	Q730
Sweden	99.3	99.2	99.7	99.6	Q34
Switzerland	99.9	99.9	99.9	99.9	Q39
Syrian Arab Republic	96.4	91.4	88.4	91	Q858
Tajikistan	92.7	94.9	88.6	97.8	Q863
Tanzania	10.6	42.6	2.5	23.7	Q924
Thailand	89.2	99.2	93.3	98.3	Q869
Timor-Leste	61.7	75.9	29	43.8	Q574
Togo	24.4	28.6	2.9	7.4	Q945
Tonga	98.9	96.6	85.7	92.5	Q678
Tunisia	93.6	95.3	48.4	81.4	Q948
Turkey	88.9	99.8	69.2	89.9	Q43
Turkmenistan	89.4	98	95.7	99.5	Q874
Tuvalu	84.9	82.8	75.3	86.2	Q672
Uganda	30.6	26.1	15.1	16.2	Q1036
Ukraine	97.1	97.4	88.9	93.6	Q212
United Kingdom	99	99	99.5	99.5	Q145
United States	100	100	99.9	99.9	Q30
Uruguay	94.6	96.6	84.7	97.1	Q77
Uzbekistan	97.6	100	88.4	100	Q265
Vanuatu	67.5	48.3	60.3	29.3	Q686
Vietnam	80.6	94.3	43.3	77.7	Q881
West Bank and Gaza	91.5	97.2	86.7	96.1	Q407199
Yemen, Rep.	85.8	87.9	26.6	42.8	Q805
Zambia	45.9	36.2	11.8	18.9	Q953
Zimbabwe	65	46.2	36.2	31.5	Q954
