Country	%_2000	%_2018	ID
St. Lucia	12.9	19.1	Q760
St. Vincent and the Grenadines	22.2	20.4	Q757
Sudan	13.5	11.6	Q1049
Suriname	9.1	4.3	Q730
Sweden	5.9	6.4	Q34
Switzerland	2.3	4.4	Q39
Syrian Arab Republic	7	5.8	Q858
Tajikistan	15.6	11.8	Q863
Tanzania	3	1.5	Q924
Thailand	2.4	0.8	Q869
Timor-Leste	2.6	3.2	Q574
Togo	4.5	2.6	Q945
Tonga	2.6	0.5	Q678
Trinidad and Tobago	3.1	2.5	Q754
Tunisia	14.6	12.7	Q948
Turkey	6.6	9.5	Q43
Turkmenistan	13.6	5	Q874
Uganda	2.5	1.3	Q1036
Ukraine	12.1	10	Q212
United Arab Emirates	2.2	1.4	Q878
United Kingdom	6.1	4	Q145
United States	3.9	3.9	Q30
Uruguay	10.2	6.9	Q77
Uzbekistan	12.3	5.9	Q265
Vanuatu	4.2	4	Q686
Venezuela, RB	13.6	6.7	Q717
Vietnam	2.4	2.1	Q881
Virgin Islands (U.S.)	8.5	7.7	Q11703
West Bank and Gaza	11.1	22.4	Q407199
Yemen, Rep.	12.3	12	Q805
Zambia	14.3	10.6	Q953
Zimbabwe	6.5	4.6	Q954
