Country	Total (1990)	Total (2019)	Male (2019)	Female (2019)	ID
Eswatini	67	49	54	45	Q1050
Ethiopia	200	51	56	45	Q115
Fiji	29	26	28	23	Q712
Finland	7	2	3	2	Q33
France	9	5	5	4	Q142
Gabon	92	43	47	38	Q1000
Gambia, The	167	52	56	47	Q1005
Georgia	48	10	11	9	Q230
Germany	9	4	4	4	Q183
Ghana	127	46	51	41	Q117
Greece	10	4	4	3	Q41
Grenada	22	17	18	15	Q769
Guatemala	80	25	27	22	Q774
Guinea	231	99	105	93	Q1006
Guinea-Bissau	221	79	85	72	Q1007
Guyana	60	29	33	25	Q734
Haiti	145	63	68	57	Q790
Honduras	58	17	19	15	Q783
Hungary	17	4	4	3	Q28
Iceland	7	2	2	2	Q189
India	126	34	34	35	Q668
Indonesia	84	24	26	21	Q252
Iran, Islamic Rep.	56	14	15	13	Q794
Iraq	54	26	28	23	Q796
Ireland	9	3	4	3	Q27
Israel	12	4	4	3	Q801
Italy	10	3	3	3	Q38
Jamaica	30	14	16	12	Q766
Japan	6	3	3	2	Q17
Jordan	36	16	17	14	Q810
Kazakhstan	52	11	12	9	Q232
Kenya	102	43	47	39	Q114
Kiribati	96	51	56	46	Q710
Korea, Dem. Peopleâ€™s Rep.	43	17	19	15	Q423
Korea, Rep.	15	3	4	3	Q884
Kuwait	18	8	9	7	Q817
Kyrgyz Republic	65	18	20	16	Q813
Lao PDR	153	46	50	41	Q819
Latvia	17	4	4	3	Q211
Lebanon	32	7	8	7	Q822
Lesotho	85	86	94	79	Q1013
Liberia	263	85	91	78	Q1014
Libya	42	12	13	10	Q1016
Lithuania	15	4	4	3	Q37
Luxembourg	9	3	3	3	Q32
Madagascar	157	51	55	46	Q1019
Malawi	243	42	46	37	Q1020
Malaysia	17	9	9	8	Q833
Maldives	86	8	8	7	Q826
Mali	230	94	99	88	Q912
Malta	11	7	8	6	Q233
Marshall Islands	49	32	35	28	Q709
Mauritania	118	73	79	67	Q1025
Mauritius	23	16	18	14	Q1027
Mexico	45	14	16	13	Q96
Micronesia, Fed. Sts.	55	29	32	26	Q702
Moldova	33	14	16	13	Q217
Monaco	8	3	3	3	Q235
Mongolia	108	16	18	14	Q711
Montenegro	17	2	3	2	Q236
Morocco	79	21	24	19	Q1028
Mozambique	243	74	79	70	Q1029
Myanmar	115	45	49	40	Q836
Namibia	72	42	46	39	Q1030
Nepal	140	31	33	29	Q837
Netherlands	8	4	4	4	Q55
New Zealand	11	5	5	4	Q664
Nicaragua	67	17	19	15	Q811
Niger	329	80	84	77	Q1032
Nigeria	210	117	124	110	Q1033
North Macedonia	36	6	7	6	Q221
Norway	9	2	3	2	Q20
Oman	39	11	13	10	Q842
Pakistan	140	67	72	63	Q843
Palau	35	17	19	15	Q695
Panama	31	15	16	13	Q804
Papua New Guinea	85	45	49	41	Q691
Paraguay	45	19	21	17	Q733
Peru	80	13	14	12	Q419
Philippines	57	27	30	24	Q928
Poland	17	4	5	4	Q36
Portugal	15	4	4	3	Q45
Qatar	21	7	7	6	Q846
Romania	31	7	8	6	Q218
Russian Federation	22	6	6	5	Q159
Rwanda	150	34	38	31	Q1037
Samoa	30	15	16	14	Q683
San Marino	14	2	2	2	Q238
Sao Tome and Principe	108	30	33	27	Q1039
Saudi Arabia	44	7	7	6	Q851
Senegal	139	45	49	41	Q1041
Serbia	28	5	6	5	Q403
Seychelles	16	14	15	13	Q1042
Sierra Leone	260	109	115	103	Q1044
Singapore	8	3	3	2	Q334
Slovak Republic	15	6	6	5	Q214
Slovenia	10	2	2	2	Q215
Solomon Islands	38	20	21	18	Q685
Somalia	178	117	123	111	Q1045
South Africa	57	35	37	31	Q258
South Sudan	250	96	101	92	Q958
Spain	9	3	3	3	Q29
Sri Lanka	22	7	8	7	Q854
St. Kitts and Nevis	31	15	17	14	Q763
St. Lucia	22	22	24	20	Q760
St. Vincent and the Grenadines	24	15	16	13	Q757
Sudan	131	58	63	53	Q1049
Suriname	45	18	20	16	Q730
Sweden	7	3	3	2	Q34
Switzerland	8	4	4	4	Q39
Syrian Arab Republic	37	22	23	20	Q858
Tajikistan	102	34	38	30	Q863
Tanzania	165	50	54	47	Q924
Thailand	37	9	10	8	Q869
Timor-Leste	175	44	48	40	Q574
Togo	145	67	72	61	Q945
Tonga	22	17	15	18	Q678
Trinidad and Tobago	30	18	19	16	Q754
Tunisia	55	17	18	15	Q948
Turkey	74	10	11	9	Q43
Turkmenistan	80	42	48	36	Q874
Tuvalu	53	24	26	22	Q672
Uganda	182	46	51	41	Q1036
Ukraine	19	8	9	8	Q212
United Arab Emirates	17	8	8	7	Q878
United Kingdom	9	4	5	4	Q145
United States	11	7	7	6	Q30
Uruguay	23	7	8	6	Q77
Uzbekistan	72	17	20	15	Q265
Vanuatu	35	26	28	24	Q686
Venezuela, RB	30	24	26	22	Q717
Vietnam	51	20	23	17	Q881
West Bank and Gaza	45	19	21	18	Q407199
Yemen, Rep.	126	58	62	54	Q805
Zambia	180	62	66	57	Q953
Zimbabwe	77	55	59	50	Q954
