Bosnia and Herzegovina	6.1	6.42	6.63	6.25	Q225
Cuba	6.13	6.51	6.55	5.99	Q241
Thailand	6.19	6.34	6.44	6.86	Q869
Georgia	6.27	6.83	6.75	6.97	Q230
Eritrea	6.35	6.35	6.44	7.22	Q986
Malaysia	6.39	6.45	6.53	6.69	Q833
China	6.39	6.97	7.04	6.9	Q148
Turkmenistan	6.44	6.57	6.64	7.18	Q874
Colombia	6.45	6.9	6.89	6.86	Q739
Morocco	6.45	7.13	7.21	7.17	Q1028
Angola	6.52	6.45	6.56	8.02	Q916
Uganda	6.52	6.69	6.75	7.57	Q1036
Belize	6.55	6.62	6.63	5.93	Q242
Peru	6.59	7.02	6.96	7.82	Q419
India	6.64	7.17	7.28	7.68	Q668
Greece	6.7	7.38	7.81	8.27	Q41
Tajikistan	6.72	7.35	7.4	7.47	Q863
Kenya	6.77	7.08	7.18	7.24	Q114
Lesotho	6.84	7.09	7.22	7.86	Q1013
Pakistan	6.96	7.21	7.25	7.84	Q843
Central African Republic	7.03	6.57	6.55	6.95	Q929
Ethiopia	7.04	7.36	7.35	7.09	Q115
Rwanda	7.09	7.43	7.6	8.68	Q1037
Serbia	7.12	7.53	7.67	5.44	Q403
Congo	7.19	7.57	7.38	7.71	Q971
Zambia	7.25	7.46	7.44	8.41	Q953
Panama	7.26	7.49	7.69	7.7	Q804
Comoros	7.29	7.52	7.45	6.93	Q970
Sri Lanka	7.32	7.67	7.79	7.84	Q854
Algeria	7.36	8.13	8.15	8.06	Q262
Trinidad and Tobago	7.5	7.65	7.68	6.7	Q754
Bhutan	7.51	7.98	8.17	13.65	Q917
Swaziland	7.52	7.65	7.84	7.37	Q1050
Ecuador	7.53	7.77	7.94	8.69	Q736
Tanzania	7.65	7.99	8.11	8.64	Q924
Liberia	7.84	7.71	7.86	9.2	Q1014
Kyrgyzstan	7.86	8.43	8.5	8.48	Q813
Mauritania	7.95	8.26	8.43	9.7	Q1025
Malawi	7.98	8.02	8.18	8.99	Q1020
Nigeria	7.98	8.32	8.28	9.03	Q1033
Sudan	7.99	7.87	7.88	9.25	Q1049
Guinea	8.2	8.32	8.55	9.49	Q1006
Netherlands	8.24	8.76	8.49	7.71	Q55
Mali	8.39	8.65	8.76	11.51	Q912
Ghana	8.39	8.81	8.85	9.35	Q117
Suriname	8.44	8.55	8.62	9.25	Q730
Uzbekistan	8.59	8.66	8.71	9.37	Q265
Mozambique	8.69	8.89	9.09	9.98	Q1029
Cote d'Ivoire	8.88	8.86	9.0	9.03	Q1008
Myanmar	8.9	9.1	9.15	8.54	Q836
Afghanistan	9.5	9.93	9.79	14.06	Q889
Albania	9.5	10.01	9.96	9.98	Q222
Burkina Faso	9.54	9.72	9.74	11.58	Q965
Zimbabwe	10.06	9.96	9.87	9.63	Q954
Sierra Leone	10.21	10.37	10.58	11.25	Q1044
Indonesia	10.24	10.54	10.74	11.69	Q252
Burundi	10.28	10.46	10.49	11.56	Q967
Djibouti	10.3	9.84	9.96	7.05	Q977
Togo	10.36	10.34	10.64	10.4	Q945
Senegal	10.38	10.99	11.08	11.76	Q1041
Cape Verde	10.39	10.8	10.88	9.47	Q1011
Honduras	10.68	10.91	11.02	12.1	Q783
Chad	10.85	11.06	11.13	12.25	Q657
Cameroon	10.91	11.09	10.96	14.46	Q1009
Dominican Republic	10.96	11.28	11.63	12.0	Q786
Madagascar	11.15	11.23	11.5	10.27	Q1019
Niger	11.24	11.62	11.93	14.03	Q1032
Guyana	11.39	11.65	11.77	9.02	Q734
Benin	11.39	11.32	11.42	10.9	Q962
Chile	11.65	12.28	12.26	11.97	Q298
Haiti	11.68	11.88	11.96	11.45	Q790
Jamaica	11.83	12.15	12.15	12.89	Q766
Gambia	12.07	11.71	11.84	13.9	Q1005
Vietnam	12.53	12.81	12.88	11.21	Q881
Japan	12.99	13.56	13.69	13.57	Q17
Fiji	13.15	14.1	13.53	11.13	Q712
Guinea-Bissau	13.56	13.09	13.34	13.12	Q1007
Nicaragua	14.62	15.18	15.39	11.91	Q811
Mauritius	15.53	14.89	15.36	15.74	Q1027
Timor Leste	15.69	16.37	17.13	17.45	Q574
El Salvador	16.05	16.85	16.89	16.49	Q792
Papua New Guinea	16.43	15.9	15.81	15.45	Q691
Cambodia	16.58	16.9	17.17	16.58	Q424
Costa Rica	17.0	16.94	17.38	16.74	Q800
Brunei	17.0	15.58	15.92	14.08	Q921
Solomon Islands	19.14	18.11	18.15	23.51	Q685
Bangladesh	19.17	19.81	20.22	17.45	Q902
Guatemala	19.88	20.88	20.75	20.88	Q774
Philippines	26.7	27.52	27.98	24.32	Q928
Tonga	29.33	28.23	28.62	29.08	Q678
Vanuatu	36.28	36.43	36.31	32.0	Q686
