Country	Consumption (2000-2018)	Consumption (2017-2018)	ID
Kyrgyz Republic	0.8	-4.6	Q813
Lao PDR	3.1	4.3	Q819
Latvia	-0.6	-2.8	Q211
Lebanon	1	2.7	Q822
Lesotho	7.7	1.4	Q1013
Liberia	-0.3	2.8	Q1014
Libya	-1.3	0.7	Q1016
Lithuania	-0.2	-4.1	Q37
Luxembourg	3.2	0.7	Q32
Madagascar	4.3	-1.1	Q1019
Malawi	2.3	0.4	Q1020
Malaysia	0.1	3.6	Q833
Maldives	0.7	0.4	Q826
Mali	1.4	-0.1	Q912
Malta	-0.7	-5.9	Q233
Marshall Islands	-0.1	0.8	Q709
Mauritania	1.1	-1.8	Q1025
Mauritius	4.1	-1.3	Q1027
Mexico	1.5	3.5	Q96
Micronesia, Fed. Sts.	-0.9	11.1	Q702
Moldova	-3.4	9.1	Q217
Mongolia	-1.3	-17.6	Q711
Montenegro	1.7	0.6	Q236
Morocco	0.1	-0.1	Q1028
Mozambique	-2.4	-3.2	Q1029
Myanmar	9.6	51	Q836
Namibia	0	0.3	Q1030
Nepal	6.9	9.8	Q837
Netherlands	0.5	-0.3	Q55
New Zealand	-0.1	5.2	Q664
Nicaragua	0.2	3.5	Q811
Niger	0.7	16.9	Q1032
Nigeria	3.2	0.8	Q1033
North Macedonia	-0.5	2.8	Q221
Norway	0.9	-2.6	Q20
Oman	2.4	17.9	Q842
Pakistan	-4.2	0.3	Q843
Palau	0.2	-0.6	Q695
Panama	-1.2	5.3	Q804
Papua New Guinea	1	1.6	Q691
Paraguay	3.2	1.3	Q733
Peru	0.6	5.1	Q419
Philippines	-0.1	8	Q928
Poland	-1.3	0.9	Q36
Portugal	0.9	0.7	Q45
Puerto Rico	2	0.1	Q1183
Qatar	2	3.6	Q846
Romania	-0.5	1.6	Q218
Russian Federation	-1.3	7.8	Q159
Rwanda	2.6	2.6	Q1037
Samoa	-1.5	0.9	Q683
Sao Tome and Principe	10	-4	Q1039
Saudi Arabia	1.2	-9	Q851
Senegal	0.7	4.3	Q1041
Serbia	-1	-1.1	Q403
Seychelles	0.8	-1.1	Q1042
Sierra Leone	-0.8	3.2	Q1044
Singapore	-0.2	3.7	Q334
Slovak Republic	-0.5	4.9	Q214
Slovenia	0.5	-1.9	Q215
Solomon Islands	0.4	-0.5	Q685
South Africa	0.5	1.3	Q258
Spain	1.4	0	Q29
Sri Lanka	2	0.3	Q854
St. Kitts and Nevis	0.3	0.9	Q763
St. Lucia	-1.4	-0.9	Q760
St. Vincent and the Grenadines	-0.3	1	Q757
Sudan	-1.1	-1.3	Q1049
Suriname	0.9	-2.2	Q730
Sweden	0.4	1.7	Q34
Switzerland	0.3	5.6	Q39
Tajikistan	-4.6	-0.7	Q863
Tanzania	1.4	5	Q924
Thailand	0.3	2.3	Q869
Timor-Leste	-0.4	1.7	Q574
Togo	7.1	4.1	Q945
Tonga	0.4	0.9	Q678
Trinidad and Tobago	-1.1	5.9	Q754
Tunisia	0.7	1	Q948
Turkey	0	6.4	Q43
Turkmenistan	2	0.1	Q874
Tuvalu	1.6	-1.1	Q672
Uganda	9.3	4.9	Q1036
Ukraine	-2.2	0.2	Q212
United Arab Emirates	-5.7	0.3	Q878
United Kingdom	0.8	1.2	Q145
United States	0.4	0.4	Q30
Uruguay	6.9	9.1	Q77
Uzbekistan	-2.3	1.3	Q265
Vanuatu	-0.3	-2	Q686
Vietnam	1.5	1.1	Q881
Zambia	0.2	0	Q953
Zimbabwe	0.7	-8.6	Q954
