Country	GDP per person employed_2000-02	GDP per person employed_2015-18	ID
Ghana	69.7	60.8	Q117
Greece	33.3	27.4	Q41
Guam	10.9	10.6	Q16635
Guatemala	41.9	32.7	Q774
Guinea	85	82.1	Q1006
Guinea-Bissau	70.3	67.9	Q1007
Guyana	28.6	23.9	Q734
Haiti	70.1	64.5	Q790
Honduras	35.9	34.5	Q783
Hungary	12.3	6.6	Q28
Iceland	13.8	10	Q189
India	81.4	74.1	Q668
Indonesia	61.4	42.6	Q252
Iran, Islamic Rep.	41.2	41.3	Q794
Iraq	28.5	21.1	Q796
Ireland	17.8	14.9	Q27
Israel	8.7	8.9	Q801
Italy	22.4	19.4	Q38
Jamaica	41.3	39.9	Q766
Japan	11.5	8.7	Q17
Jordan	10.8	10.6	Q810
Kazakhstan	35.8	23.5	Q232
Kenya	47	43.5	Q114
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5	Q423
Korea, Rep.	26.1	19.3	Q884
Kuwait	2.8	1.4	Q817
Kyrgyz Republic	52.1	37.7	Q813
Lao PDR	83.7	73.7	Q819
Latvia	10.4	7.4	Q211
Lebanon	37.8	30.9	Q822
Lesotho	16.1	14.1	Q1013
Liberia	70.7	65.4	Q1014
Libya	6.4	6.4	Q1016
Lithuania	20.4	10.8	Q37
Luxembourg	6.5	5.7	Q32
Madagascar	80.9	81	Q1019
Malawi	56.5	53.7	Q1020
Malaysia	22.8	20.3	Q833
Maldives	22.8	15.6	Q826
Mali	77.1	75.9	Q912
Malta	10.2	12.7	Q233
Mauritania	50.8	46	Q1025
Mauritius	20.6	18.2	Q1027
Mexico	30.9	25.4	Q96
Moldova	35	41	Q217
Mongolia	58.1	51.7	Q711
Montenegro	15.8	16.8	Q236
Morocco	52.6	44	Q1028
Mozambique	78.5	72.9	Q1029
Myanmar	72.4	58.6	Q836
Namibia	20.3	24.3	Q1030
Nepal	74.1	65.5	Q837
Netherlands	8.2	14.2	Q55
New Caledonia	13.6	13.1	Q33788
New Zealand	16.5	13.6	Q664
Nicaragua	46	36	Q811
Niger	88.5	91	Q1032
Nigeria	74.7	71.9	Q1033
North Macedonia	20.7	21.1	Q221
Norway	7.5	6.2	Q20
Oman	9.8	2.4	Q842
Pakistan	63.1	51.7	Q843
Panama	36.5	34.7	Q804
Papua New Guinea	73	69.4	Q691
Paraguay	52.1	35.4	Q733
Peru	48.4	44.9	Q419
Philippines	43.2	30.1	Q928
Poland	24.4	18.6	Q36
Portugal	18.9	14.2	Q45
Puerto Rico	14	17	Q1183
Qatar	0.7	0.2	Q846
Romania	42.4	24.9	Q218
Russian Federation	10.3	5.9	Q159
Rwanda	86.4	58.2	Q1037
Samoa	32	33	Q683
Sao Tome and Principe	47	44.5	Q1039
Saudi Arabia	6	3.3	Q851
Senegal	75	59.8	Q1041
Serbia	32.6	27.2	Q403
Sierra Leone	83.1	80.5	Q1044
Singapore	11.5	11.9	Q334
Slovak Republic	7.6	14.9	Q214
Slovenia	13.4	12.8	Q215
Solomon Islands	60.9	57.2	Q685
Somalia	86.4	85.2	Q1045
South Africa	7.4	10.4	Q258
South Sudan	76.2	79.5	Q958
Spain	15.1	13.2	Q29
Sri Lanka	40.3	37	Q854
St. Lucia	31.4	32.4	Q760
St. Vincent and the Grenadines	22	21.8	Q757
Sudan	55.2	44.9	Q1049
Suriname	18.9	13.5	Q730
Sweden	9.7	7.9	Q34
Switzerland	10.4	8.6	Q39
Syrian Arab Republic	40.6	35.4	Q858
Tajikistan	42.1	39.3	Q863
Tanzania	84.8	78	Q924
Thailand	55.1	47.6	Q869
Timor-Leste	74	58.6	Q574
Togo	81.7	74.1	Q945
Tonga	52.9	49.3	Q678
Trinidad and Tobago	18.3	21.9	Q754
Tunisia	25.7	21.9	Q948
Turkey	34.6	24.9	Q43
Turkmenistan	27.7	25.7	Q874
Uganda	79.1	68.4	Q1036
Ukraine	15.6	16.7	Q212
United Arab Emirates	1.7	0.7	Q878
United Kingdom	11.5	16	Q145
United States	4.7	4.3	Q30
Uruguay	25.4	26.5	Q77
Uzbekistan	44.5	40.5	Q265
Vanuatu	68.8	67.4	Q686
Venezuela, RB	35	35.3	Q717
Vietnam	77.6	48.8	Q881
Virgin Islands (U.S.)	8.4	9.1	Q11703
West Bank and Gaza	27.1	23.4	Q407199
Yemen, Rep.	36.9	43.8	Q805
Zambia	73	69.2	Q953
Zimbabwe	46	54.5	Q954
