Country	Total (1990)	Total (2018)	% Total (1990)	% Total (2018)	ID
Poland	23350	22807	61	60	Q36
Portugal	4783	6706	48	65	Q45
Puerto Rico	3287	2988	93	94	Q1183
Qatar	442	2758	93	99	Q846
Romania	12347	10515	53	54	Q218
Russian Federation	108601	107539	73	74	Q159
Rwanda	395	2117	5	17	Q1037
Samoa	35	36	21	18	Q683
San Marino	22	33	90	97	Q238
Sao Tome and Principe	52	154	44	73	Q1039
Saudi Arabia	12432	28255	77	84	Q851
Senegal	2927	7482	39	47	Q1041
Serbia	3823	3917	50	56	Q403
Seychelles	34	55	49	57	Q1042
Sierra Leone	1436	3217	33	42	Q1044
Singapore	3047	5639	100	100	Q334
Slovak Republic	2994	2926	56	54	Q214
Slovenia	1007	1131	50	55	Q215
Solomon Islands	43	155	14	24	Q685
Somalia	2143	6749	30	45	Q1045
South Africa	19150	38340	52	66	Q258
South Sudan	729	2153	13	20	Q958
Spain	29287	37588	75	80	Q29
Sri Lanka	3211	4004	19	18	Q854
St. Kitts and Nevis	14	16	35	31	Q763
St. Lucia	41	34	29	19	Q760
St. Vincent and the Grenadines	45	58	41	52	Q757
Sudan	5764	14481	29	35	Q1049
Suriname	266	381	66	66	Q730
Sweden	7112	8896	83	87	Q34
Switzerland	4965	6283	74	74	Q39
Syrian Arab Republic	6090	9157	49	54	Q858
Tajikistan	1673	2469	32	27	Q863
Tanzania	4759	19022	19	34	Q924
Thailand	16642	34679	29	50	Q869
Timor-Leste	154	388	21	31	Q574
Togo	1079	3290	29	42	Q945
Tonga	22	24	23	23	Q678
Trinidad and Tobago	661	739	54	53	Q754
Tunisia	4776	7974	58	69	Q948
Turkey	31923	61858	59	75	Q43
Turkmenistan	1661	3019	45	52	Q874
Turks and Caicos Islands	9	35	74	93	Q18221
Tuvalu	4	7	41	62	Q672
Uganda	1922	10157	11	24	Q1036
Ukraine	34641	30947	67	69	Q212
United Arab Emirates	1445	8333	79	87	Q878
United Kingdom	44733	55427	78	83	Q145
United States	187966	268720	75	82	Q30
Uruguay	2767	3288	89	95	Q77
Uzbekistan	8484	16636	41	50	Q265
Vanuatu	27	74	19	25	Q686
Venezuela, RB	16547	25466	84	88	Q717
Vietnam	13773	34317	20	36	Q881
Virgin Islands (U.S.)	91	102	88	96	Q11703
West Bank and Gaza	1339	3480	68	76	Q407199
Yemen, Rep.	2451	10442	21	37	Q805
Zambia	3167	7552	39	44	Q953
Zimbabwe	3024	4651	29	32	Q954
