Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Eritrea	14	11.8	6.4	4.6	Q986
Estonia	47.1	41.2	22.6	17.3	Q191
Eswatini	24.2	25.1	28.5	22.8	Q1050
Ethiopia	5.1	10.3	8.6	9.7	Q115
Fiji	15.8	15.8	12.1	8.4	Q712
Finland	40.2	34.8	14.2	8.9	Q33
France	36.1	30.1	14	9.6	Q142
French Polynesia	22.5	22	8.7	5.1	Q30971
Gabon	14.2	15.2	2.3	2.8	Q1000
Gambia, The	25.2	24.1	5.3	4	Q1005
Georgia	14.9	20.2	4	5.5	Q230
Germany	45.3	39	18.3	13.9	Q183
Ghana	13.5	19.5	14.4	22.9	Q117
Greece	28.5	20.5	12.1	7.7	Q41
Guam	19.6	21.9	3.4	3.5	Q16635
Guatemala	21.5	19.6	24.3	17	Q774
Guinea	9.6	11	2	2.1	Q1006
Guinea-Bissau	10.6	9.6	5.3	4.2	Q1007
Guyana	28.3	31.6	15.1	8.3	Q734
Haiti	11.5	10.8	2.9	1.9	Q790
Honduras	20.8	21.4	25.1	18.3	Q783
Hungary	41.1	42.7	24.8	20	Q28
Iceland	32.6	25.2	10.3	7.5	Q189
India	17.9	26.9	11.7	17.3	Q668
Indonesia	18.9	25.7	15	17	Q252
Iran, Islamic Rep.	30	32.8	32.5	25.1	Q794
Iraq	22.8	23.7	15.6	11	Q796
Ireland	37.5	27.5	15.3	8.5	Q27
Israel	32.5	25.5	13.3	7.9	Q801
Italy	38.3	35.5	20.5	13.1	Q38
Jamaica	24.3	24.2	6.2	6	Q766
Japan	38.1	32.5	21.6	14.1	Q17
Jordan	22.5	26.9	13.6	13.4	Q810
Kazakhstan	21.9	28.8	9.6	11.3	Q232
Kenya	16.3	12.2	6.5	2	Q114
Korea, Dem. Peopleâ€™s Rep.	24	19.7	9.5	7	Q423
Korea, Rep.	34.4	33.7	19.1	13.5	Q884
Kuwait	27.7	31.4	2.6	3.4	Q817
Kyrgyz Republic	13	29.8	7.2	13.6	Q813
Lao PDR	5.5	14.4	3.6	8.7	Q819
Latvia	34.4	34.5	18.6	13	Q211
Lebanon	26.7	25.2	20.5	14.5	Q822
Lesotho	44.6	50.4	36.3	31.5	Q1013
Liberia	16.1	15.3	6	5	Q1014
Libya	31.1	28	16.2	12	Q1016
Lithuania	32.8	35.2	21	16.6	Q37
Luxembourg	30.2	18.2	6.4	4.1	Q32
Madagascar	9.8	9.3	8.1	8.5	Q1019
Malawi	17	17.2	12.1	10.3	Q1020
Malaysia	34	31.9	28.9	19.4	Q833
Maldives	17.9	17.7	36.3	21.5	Q826
Mali	9.3	9.4	7.9	5.3	Q912
Malta	36.3	25.3	24.6	8.9	Q233
Mauritania	12.1	14	9.3	9.9	Q1025
Mauritius	37.2	31.3	43.5	16.1	Q1027
Mexico	29.5	31.2	22.1	17.8	Q96
Moldova	17.9	21.7	10.3	11.3	Q217
Mongolia	16.6	25.3	11.2	12	Q711
Montenegro	31.2	27.5	15.8	7.8	Q236
Morocco	20.1	24.6	19.1	12.3	Q1028
Mozambique	6.4	14.4	0.3	2.9	Q1029
Myanmar	13.2	16.5	13.2	15.3	Q836
Namibia	16.9	24.8	6.7	7.6	Q1030
Nepal	15.5	23.5	5.5	8.2	Q837
Netherlands	30.6	24.6	9.5	6.3	Q55
New Caledonia	34	32.5	8.7	7	Q33788
New Zealand	32.5	29.3	12.3	9.3	Q664
Nicaragua	18.2	19.3	17.4	12.7	Q811
Niger	4.7	4.4	13.3	11	Q1032
Nigeria	12	11.8	12.2	12.8	Q1033
North Macedonia	36.6	34.4	31.1	26.7	Q221
Norway	32.7	30.6	9.4	7	Q20
Oman	10.7	36.8	13.6	4.3	Q842
Pakistan	21.3	27.1	15.5	16.5	Q843
Panama	21.8	24.7	9.2	9.8	Q804
Papua New Guinea	5.8	10.1	1.5	2.6	Q691
Paraguay	20	25.5	10.7	8.2	Q733
Peru	18	21.2	9.4	8.7	Q419
Philippines	17.9	24.9	13.1	9.8	Q928
Poland	41	43.5	18.8	17.4	Q36
Portugal	44.2	33.9	22.5	15.4	Q45
Puerto Rico	27.5	21.7	14.7	8	Q1183
Qatar	43.3	62	2.8	6.4	Q846
Romania	30.6	36.6	20.3	21.5	Q218
Russian Federation	35.8	37.3	22.3	15.7	Q159
Rwanda	4.4	15	0.6	2.8	Q1037
Samoa	13.7	17.5	29.4	33.2	Q683
Sao Tome and Principe	26.5	25.9	4.7	3.4	Q1039
Saudi Arabia	22.7	28.2	1.5	2.2	Q851
Senegal	14.8	18.7	7.2	5.6	Q1041
Serbia	32.6	33.4	19.5	18.7	Q403
Sierra Leone	9.9	11.3	2.3	1.4	Q1044
Singapore	30.9	19.3	23	10.9	Q334
Slovak Republic	47.2	49.6	25.5	20.6	Q214
Slovenia	45.6	44.3	28.3	20.4	Q215
Solomon Islands	11.9	14.6	3.4	4.2	Q685
Somalia	5.5	4.2	2.4	1.6	Q1045
South Africa	34.8	32.2	15	11.6	Q258
South Sudan	22.9	19.2	10.2	7.7	Q958
Spain	40.2	29.6	14.4	9.1	Q29
Sri Lanka	23.5	29.8	23.1	27.6	Q854
St. Lucia	24.4	26.9	14.9	7.2	Q760
St. Vincent and the Grenadines	28.4	29.3	8.4	6.8	Q757
Sudan	15	21	3.2	4.4	Q1049
Suriname	32.4	32.7	9	7.2	Q730
Sweden	36.2	28.3	11.5	7.1	Q34
Switzerland	34.9	29.7	12.4	9.9	Q39
Syrian Arab Republic	30.1	29.9	7.4	7.8	Q858
Tajikistan	22.4	20.6	4.2	7.1	Q863
Tanzania	4.4	10	1.2	3.1	Q924
Thailand	20.5	25.2	17.3	20	Q869
Timor-Leste	8.8	11.1	6	7.5	Q574
Togo	12	12.5	15.6	13.2	Q945
Tonga	13.2	14.7	59.2	50.9	Q678
Trinidad and Tobago	37.1	37.6	13.5	12.6	Q754
Tunisia	30.5	32.6	35.7	33	Q948
Turkey	27.3	31.6	11.5	16.1	Q43
Turkmenistan	35.4	45	36.9	38.2	Q874
Uganda	9.9	9.8	5.4	3.3	Q1036
Ukraine	34.8	34.3	17.9	13.7	Q212
United Arab Emirates	36.1	40.5	13.7	5.5	Q878
United Kingdom	36.2	27.5	12	7.4	Q145
United States	34.2	29.4	12.7	8.8	Q30
Uruguay	28.5	27.7	14.1	8.7	Q77
Uzbekistan	26.8	37.5	15.8	16.8	Q265
Vanuatu	9.9	9.3	2.3	2.3	Q686
Venezuela, RB	28.8	23.6	12.8	8.3	Q717
Vietnam	14.6	30.7	10.1	22.6	Q881
Virgin Islands (U.S.)	38.5	32.3	10.7	7.7	Q11703
West Bank and Gaza	38.3	35.4	11.4	9.5	Q407199
Yemen, Rep.	16.6	10.1	6.8	10.9	Q805
Zambia	10.5	16.8	3.1	4.4	Q953
Zimbabwe	18.1	11.9	4.3	2	Q954
