Country	FH Free press report	RWB Press freedom index	ID
Saudi Arabia	84.0	56.88	Q851
Senegal	55.0	26.19	Q1041
Serbia	35.0	26.59	Q403
Seychelles	56.0	29.19	Q1042
Sierra Leone	49.0	26.35	Q1044
Singapore	67.0	43.43	Q334
Slovakia	21.0	13.25	Q214
Slovenia	25.0	20.49	Q215
Somalia	84.0	73.59	Q1045
South Africa	34.0	24.56	Q258
South Korea	32.0	24.48	Q884
South Sudan	59.0	36.2	Q958
Spain	24.0	20.5	Q29
Sri Lanka	72.0	56.59	Q854
Sudan	78.0	70.06	Q1049
Suriname	23.0	18.19	Q730
Swaziland	76.0	46.76	Q1050
Sweden	10.0	9.23	Q34
Switzerland	12.0	9.94	Q39
Syria	89.0	78.53	Q858
Taiwan	25.0	23.82	Q865
Tajikistan	79.0	35.71	Q863
Tanzania	49.0	27.34	Q924
Thailand	60.0	38.6	Q869
Timor-Leste	35.0	28.72	Q574
Togo	69.0	28.45	Q945
Tonga	29.0	26.7	Q678
Trinidad and Tobago	25.0	23.12	Q754
Tunisia	51.0	39.93	Q948
Turkey	55.0	46.56	Q43
Turkmenistan	96.0	79.14	Q874
Uganda	57.0	31.69	Q1036
Ukraine	59.0	36.79	Q212
United Arab Emirates	72.0	33.49	Q878
United Kingdom	21.0	16.89	Q145
United States	18.0	18.22	Q30
Uruguay	26.0	15.92	Q77
Uzbekistan	95.0	60.39	Q265
Venezuela	76.0	34.44	Q717
Vietnam	84.0	71.78	Q881
Yemen	83.0	69.22	Q805
Zambia	60.0	27.93	Q953
Zimbabwe	80.0	38.12	Q954
