Country	Receipts $ (2012)	Receipts $ (2018)	Receipts % (2012)	Receipts % (2018)	ID
Namibia	635	488	12.5	9.9	Q1030
Nepal	379,00	744,00	19.7	27.8	Q837
Netherlands	17.675,00	25.850,00	2.6	3.4	Q55
New Zealand	7.142,00	10.961,00	14.1	19.1	Q664
Nicaragua	421,00	544,00	8.4	9.9	Q811
Nigeria	638	1977	0.6	2.9	Q1033
Norway	6.784,00	7.096,00	3.3	4.3	Q20
Oman	1.723,00	2.975,00	3.1	6.4	Q842
Pakistan	1014	818	3.2	2.7	Q843
Panama	4585	5615	14.7	19.7	Q804
Paraguay	291	393	2.4	2.7	Q733
Peru	3.074,00	4.894,00	6,00	8.7	Q419
Philippines	4963	9730	7.4	10.8	Q928
Poland	11.889,00	15.748,00	5.3	4.8	Q36
Portugal	14.578,00	24.105,00	17.7	22.8	Q45
Qatar	7.220,00	15.239,00	5.1	14.9	Q846
Romania	1.904,00	3.261,00	3,00	3.2	Q218
Russian Federation	17.876,00	18.670,00	3,00	3.7	Q159
Rwanda	337	528	30.4	25.8	Q1037
Samoa	148	191	66.7	62.6	Q683
Sao Tome and Principe	15	72	45.5	73.2	Q1039
Saudi Arabia	8.400,00	16.975,00	2.1	5.4	Q851
Serbia	1080	1921	7.3	7.7	Q403
Seychelles	429,00	611,00	34.8	36.4	Q1042
Sierra Leone	47	39	3.8	5.2	Q1044
Singapore	18.795,00	20.416,00	3.2	3.1	Q334
Sint Maarten (Dutch part)	854,00	468,00	73,00	57.8	Q26273
Slovak Republic	2.365,00	3.318,00	2.8	3.3	Q214
Slovenia	2.793,00	3.378,00	8.2	7.3	Q215
Solomon Islands	65	92	10.6	13.5	Q685
South Africa	11.202,00	9.789,00	9.5	8.9	Q258
Spain	62.936,00	81.250,00	15.1	16.3	Q29
Sri Lanka	1.756,00	5.608,00	12.9	27.7	Q854
St. Kitts and Nevis	95,00	367,00	36.9	60.6	Q763
St. Lucia	337	989	55.8	81.3	Q760
St. Vincent and the Grenadines	94	241	49.9	76.3	Q757
Sudan	772	1043	15.1	20.9	Q1049
Suriname	79,00	73,00	2.8	3.2	Q730
Eswatini	29	16	1.6	0.9	Q1050
Sweden	10.104,00	14.926,00	4.1	5.9	Q34
Switzerland	19.594,00	20.276,00	4.4	4.4	Q39
Tajikistan	287	171	21.8	15.3	Q863
Tanzania	1754	2465	20.2	29.4	Q924
Thailand	34.565,00	65.242,00	12.6	19.9	Q869
Timor-Leste	21	78	20.4	64	Q574
Tonga	40	48	49.8	45.9	Q678
Trinidad and Tobago	852,00	541,00	4.8	4.8	Q754
Tunisia	2.931,00	2.320,00	13.2	11.9	Q948
Turkey	31.566,00	37.140,00	15.4	15.6	Q43
Uganda	1157	1044	23.4	18.5	Q1036
Ukraine	5988	2269	6.9	3.8	Q212
United Kingdom	40.927,00	48.515,00	5,00	5.5	Q145
United States	200.997,00	256.145,00	9.1	10.2	Q30
Uruguay	2.439,00	2.439,00	13.5	14.9	Q77
Vanuatu	268	325	75.2	62.8	Q686
Vietnam	6.850,00	10.080,00	5.5	3.9	Q881
West Bank and Gaza	469	245	25.1	8.4	Q407199
Zambia	518	742	4.9	7.4	Q953
