Country	per capita	ID
Jamaica	2.5	Q766
Japan	9.5	Q17
Jordan	3	Q810
Kazakhstan	14.4	Q232
Kenya	0.3	Q114
Kiribati	0.5	Q710
Korea, Dem. People’s Rep.	1.3	Q423
Korea, Rep.	11.6	Q884
Kosovo	4	Q1246
Kuwait	23.9	Q817
Kyrgyz Republic	1.8	Q813
Lao PDR	0.7	Q819
Latvia	3.5	Q211
Lebanon	3.8	Q822
Lesotho	1.2	Q1013
Liberia	0.3	Q1014
Libya	9.4	Q1016
Liechtenstein	1.3	Q347
Lithuania	4.4	Q37
Luxembourg	17.4	Q32
Madagascar	3.6	Q1019
Malawi	0.1	Q1020
Malaysia	0.1	Q833
Maldives	8.1	Q826
Mali	3	Q912
Malta	0.2	Q233
Marshall Islands	5.4	Q709
Mauritania	2.5	Q1025
Mauritius	0.7	Q1027
Mexico	3.3	Q96
Micronesia, Fed. Sts.	4	Q702
Moldova	1.3	Q217
Monaco	1.7	Q235
Montenegro	10.1	Q236
Morocco	3.4	Q1028
Mozambique	1.8	Q1029
Myanmar	0.3	Q836
Namibia	0.3	Q1030
Nepal	1.6	Q837
Netherlands	0.3	Q55
New Caledonia	10	Q33788
New Zealand	18.2	Q664
Nicaragua	7.7	Q811
Niger	0.8	Q1032
Nigeria	0.1	Q1033
North Macedonia	0.7	Q221
Norway	9.3	Q20
Oman	15.2	Q842
Pakistan	0.9	Q843
Palau	12.7	Q695
Panama	2.8	Q804
Papua New Guinea	0.7	Q691
Paraguay	0.9	Q733
Peru	1.7	Q419
Philippines	1	Q928
Poland	7.5	Q36
Portugal	4.3	Q45
Qatar	43.5	Q846
Romania	3.5	Q218
Russian Federation	12.1	Q159
Rwanda	0.1	Q1037
Samoa	1.1	Q683
Sao Tome and Principe	0.6	Q1039
Saudi Arabia	19.4	Q851
Senegal	0.7	Q1041
Serbia	5.2	Q403
Seychelles	5.3	Q1042
Sierra Leone	0.2	Q1044
Singapore	10.4	Q334
Sint Maarten (Dutch part)	19.5	Q26273
Slovak Republic	5.7	Q214
Slovenia	6.1	Q215
Solomon Islands	0.3	Q685
Somalia	0	Q1045
South Africa	8.9	Q258
South Sudan	0.1	Q958
Spain	5	Q29
Sri Lanka	0.9	Q854
St. Kitts and Nevis	4.5	Q763
St. Lucia	2.3	Q760
St. Vincent and the Grenadines	2	Q757
Sudan	0.3	Q1049
Suriname	4.1	Q730
Sweden	4.5	Q34
Switzerland	4.4	Q39
Syrian Arab Republic	1.6	Q858
Tajikistan	0.6	Q863
Tanzania	0.2	Q924
Thailand	4.1	Q869
Timor-Leste	0.4	Q574
Togo	0.4	Q945
Tonga	1.1	Q678
Trinidad and Tobago	34	Q754
Tunisia	2.6	Q948
Turkey	4.5	Q43
Turkmenistan	12.5	Q874
Turks and Caicos Islands	5.6	Q18221
Tuvalu	1	Q672
Uganda	0.1	Q1036
Ukraine	5	Q212
United Arab Emirates	24.5	Q878
United Kingdom	6.5	Q145
United States	16.4	Q30
Uruguay	2	Q77
Uzbekistan	3.4	Q265
Vanuatu	0.6	Q686
Venezuela, RB	6.2	Q717
Vietnam	1.8	Q881
West Bank and Gaza	0.7	Q407199
Yemen, Rep.	1	Q805
Zambia	0.3	Q953
Zimbabwe	0.9	Q954
