Week Ending Date,State,Observed Number,Upper Bound Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate
2018-06-09,Alabama,1011,1136,991,0,20,2018,3743,5884,0,0
2018-06-16,Alabama,940,1126,981,0,0,2018,3743,5884,0,0
2018-06-23,Alabama,974,1118,976,0,0,2018,3743,5884,0,0
2018-06-30,Alabama,927,1115,974,0,0,2018,3743,5884,0,0
2018-07-07,Alabama,972,1119,978,0,0,2018,3743,5884,0,0
2018-07-14,Alabama,994,1115,972,0,22,2018,3743,5884,0,0
2018-07-21,Alabama,959,1119,977,0,0,2018,3743,5884,0,0
2018-07-28,Alabama,930,1126,988,0,0,2018,3743,5884,0,0
2018-08-04,Alabama,962,1124,990,0,0,2018,3743,5884,0,0
2018-08-11,Alabama,969,1111,983,0,0,2018,3743,5884,0,0
2018-08-18,Alabama,938,1099,965,0,0,2018,3743,5884,0,0
2018-08-25,Alabama,943,1093,958,0,0,2018,3743,5884,0,0
2018-09-01,Alabama,936,1091,959,0,0,2018,3743,5884,0,0
2018-09-08,Alabama,944,1088,954,0,0,2018,3743,5884,0,0
2018-09-15,Alabama,912,1104,972,0,0,2018,3743,5884,0,0
2018-09-22,Alabama,998,1101,980,0,18,2018,3743,5884,0,0
2018-09-29,Alabama,972,1113,993,0,0,2018,3743,5884,0,0
2018-10-06,Alabama,945,1107,988,0,0,2018,3743,5884,0,0
2018-10-13,Alabama,943,1099,980,0,0,2018,3743,5884,0,0
2018-10-20,Alabama,971,1101,983,0,0,2018,3743,5884,0,0
2018-10-27,Alabama,993,1107,990,0,3,2018,3743,5884,0,0
2018-11-03,Alabama,927,1109,992,0,0,2018,3743,5884,0,0
2018-11-10,Alabama,963,1143,1019,0,0,2018,3743,5884,0,0
2018-11-17,Alabama,1055,1167,1041,0,14,2018,3743,5884,0,0
2018-11-24,Alabama,1009,1185,1058,0,0,2018,3743,5884,0,0
2018-12-01,Alabama,1050,1210,1079,0,0,2018,3743,5884,0,0
2018-12-08,Alabama,1044,1223,1097,0,0,2018,3743,5884,0,0
2018-12-15,Alabama,1053,1221,1096,0,0,2018,3743,5884,0,0
2018-12-22,Alabama,1105,1228,1101,0,4,2018,3743,5884,0,0
2018-12-29,Alabama,1084,1256,1129,0,0,2018,3743,5884,0,0
2019-01-05,Alabama,1077,1283,1153,0,0,2019,3743,5884,0,0
2019-01-12,Alabama,1090,1315,1182,0,0,2019,3743,5884,0,0
2019-01-19,Alabama,1114,1326,1197,0,0,2019,3743,5884,0,0
2019-01-26,Alabama,1063,1327,1199,0,0,2019,3743,5884,0,0
2019-02-02,Alabama,1095,1308,1184,0,0,2019,3743,5884,0,0
2019-02-09,Alabama,1092,1303,1179,0,0,2019,3743,5884,0,0
2019-02-16,Alabama,1103,1296,1171,0,0,2019,3743,5884,0,0
2019-02-23,Alabama,1064,1293,1163,0,0,2019,3743,5884,0,0
2019-03-02,Alabama,1050,1267,1146,0,0,2019,3743,5884,0,0
2019-03-09,Alabama,1062,1252,1132,0,0,2019,3743,5884,0,0
2019-03-16,Alabama,1090,1237,1117,0,0,2019,3743,5884,0,0
2019-03-23,Alabama,1012,1235,1115,0,0,2019,3743,5884,0,0
2019-03-30,Alabama,1079,1219,1104,0,0,2019,3743,5884,0,0
2019-04-06,Alabama,1044,1201,1088,0,0,2019,3743,5884,0,0
2019-04-13,Alabama,1031,1193,1080,0,0,2019,3743,5884,0,0
2019-04-20,Alabama,954,1189,1078,0,0,2019,3743,5884,0,0
2019-04-27,Alabama,1042,1185,1072,0,0,2019,3743,5884,0,0
2019-05-04,Alabama,1031,1179,1067,0,0,2019,3743,5884,0,0
2019-05-11,Alabama,1009,1164,1054,0,0,2019,3743,5884,0,0
2019-05-18,Alabama,996,1145,1038,0,0,2019,3743,5884,0,0
2019-05-25,Alabama,974,1138,1031,0,0,2019,3743,5884,0,0
2019-06-01,Alabama,1027,1127,1018,0,9,2019,3743,5884,0,0
2019-06-08,Alabama,1029,1127,1018,0,11,2019,3743,5884,0,0
2019-06-15,Alabama,986,1115,1007,0,0,2019,3743,5884,0,0
2019-06-22,Alabama,989,1109,1004,0,0,2019,3743,5884,0,0
2019-06-29,Alabama,940,1105,1003,0,0,2019,3743,5884,0,0
2019-07-06,Alabama,1028,1125,1018,0,10,2019,3743,5884,0,0
2019-07-13,Alabama,1018,1120,1012,0,6,2019,3743,5884,0,0
2019-07-20,Alabama,962,1115,1011,0,0,2019,3743,5884,0,0
2019-07-27,Alabama,980,1114,1009,0,0,2019,3743,5884,0,0
2019-08-03,Alabama,984,1106,1004,0,0,2019,3743,5884,0,0
2019-08-10,Alabama,998,1111,1004,0,0,2019,3743,5884,0,0
2019-08-17,Alabama,977,1118,1008,0,0,2019,3743,5884,0,0
2019-08-24,Alabama,939,1114,1005,0,0,2019,3743,5884,0,0
2019-08-31,Alabama,975,1114,1006,0,0,2019,3743,5884,0,0
2019-09-07,Alabama,1009,1116,1009,0,0,2019,3743,5884,0,0
2019-09-14,Alabama,1000,1132,1023,0,0,2019,3743,5884,0,0
2019-09-21,Alabama,883,1137,1028,0,0,2019,3743,5884,0,0
2019-09-28,Alabama,987,1137,1030,0,0,2019,3743,5884,0,0
2019-10-05,Alabama,958,1131,1022,0,0,2019,3743,5884,0,0
2019-10-12,Alabama,907,1109,1005,0,0,2019,3743,5884,0,0
2019-10-19,Alabama,1009,1108,1002,0,7,2019,3743,5884,0,0
2019-10-26,Alabama,978,1113,1008,0,0,2019,3743,5884,0,0
2019-11-02,Alabama,937,1125,1018,0,0,2019,3743,5884,0,0
2019-11-09,Alabama,1041,1137,1033,0,8,2019,3743,5884,0,0
2019-11-16,Alabama,1070,1150,1049,0,21,2019,3743,5884,0,0
2019-11-23,Alabama,1043,1167,1065,0,0,2019,3743,5884,0,0
2019-11-30,Alabama,1038,1179,1077,0,0,2019,3743,5884,0,0
2019-12-07,Alabama,1072,1187,1083,0,0,2019,3743,5884,0,0
2019-12-14,Alabama,1081,1185,1082,0,0,2019,3743,5884,0,0
2019-12-21,Alabama,1103,1183,1082,0,21,2019,3743,5884,0,0
2019-12-28,Alabama,1035,1190,1090,0,0,2019,3743,5884,0,0
2020-01-04,Alabama,1080,1194,1094,0,0,2020,3743,5884,0,0
2020-01-11,Alabama,1124,1184,1092,0,32,2020,3743,5884,0,0
2020-01-18,Alabama,1039,1176,1099,0,0,2020,3743,5884,0,0
2020-01-25,Alabama,1053,1184,1109,0,0,2020,3743,5884,0,0
2020-02-01,Alabama,1024,1179,1106,0,0,2020,3743,5884,0,0
2020-02-08,Alabama,1117,1181,1110,0,7,2020,3743,5884,0,0
2020-02-15,Alabama,1093,1182,1103,0,0,2020,3743,5884,0,0
2020-02-22,Alabama,1096,1173,1094,0,2,2020,3743,5884,0,0
2020-02-29,Alabama,1161,1159,1087,2,74,2020,3743,5884,0,0.1
2020-03-07,Alabama,1053,1145,1074,0,0,2020,3743,5884,0,0
2020-03-14,Alabama,1088,1137,1067,0,21,2020,3743,5884,0,0
2020-03-21,Alabama,1057,1137,1062,0,0,2020,3743,5884,0,0
2020-03-28,Alabama,1071,1127,1056,0,15,2020,3743,5884,0,0
2020-04-04,Alabama,1153,1112,1041,41,112,2020,3743,5884,0,0.1
2020-04-11,Alabama,1132,1105,1036,27,96,2020,3743,5884,0,0.1
2020-04-18,Alabama,1139,1098,1031,41,108,2020,3743,5884,0,0.1
2020-04-25,Alabama,1136,1098,1023,38,113,2020,3743,5884,0,0.1
2020-05-02,Alabama,1146,1090,1018,56,128,2020,3743,5884,0.1,0.1
2020-05-09,Alabama,1174,1083,1013,91,161,2020,3743,5884,0.1,0.2
2020-05-16,Alabama,1152,1081,1012,71,140,2020,3743,5884,0.1,0.1
2020-05-23,Alabama,1156,1072,1006,84,150,2020,3743,5884,0.1,0.1
2020-05-30,Alabama,1110,1083,1010,27,100,2020,3743,5884,0,0.1
2020-06-06,Alabama,1172,1064,995,108,177,2020,3743,5884,0.1,0.2
2020-06-13,Alabama,1141,1058,990,83,151,2020,3743,5884,0.1,0.2
2020-06-20,Alabama,1090,1053,985,37,105,2020,3743,5884,0,0.1
2020-06-27,Alabama,1150,1049,983,101,167,2020,3743,5884,0.1,0.2
2020-07-04,Alabama,1204,1053,980,151,224,2020,3743,5884,0.1,0.2
2020-07-11,Alabama,1258,1052,981,206,277,2020,3743,5884,0.2,0.3
2020-07-18,Alabama,1292,1049,979,243,313,2020,3743,5884,0.2,0.3
2020-07-25,Alabama,1333,1045,977,288,356,2020,3743,5884,0.3,0.4
2020-08-01,Alabama,1363,1037,971,326,392,2020,3743,5884,0.3,0.4
2020-08-08,Alabama,1369,1041,967,328,402,2020,3743,5884,0.3,0.4
2020-08-15,Alabama,1295,1036,964,259,331,2020,3743,5884,0.2,0.3
2020-08-22,Alabama,1290,1038,968,252,322,2020,3743,5884,0.2,0.3
2020-08-29,Alabama,1213,1036,966,177,247,2020,3743,5884,0.2,0.3
2020-09-05,Alabama,1211,1033,967,178,244,2020,3743,5884,0.2,0.3
2020-09-12,Alabama,1237,1048,975,189,262,2020,3743,5884,0.2,0.3
2020-09-19,Alabama,1183,1057,980,126,203,2020,3743,5884,0.1,0.2
2020-09-26,Alabama,1157,1050,976,107,181,2020,3743,5884,0.1,0.2
2020-10-03,Alabama,1082,1056,984,26,98,2020,3743,5884,0,0.1
2020-10-10,Alabama,1136,1056,985,80,151,2020,3743,5884,0.1,0.2
2020-10-17,Alabama,1031,1046,976,0,55,2020,3743,5884,0,0.1
2017-01-14,Alaska,87,108,88,0,0,2017,13,192,0,0
2017-01-21,Alaska,93,106,86,0,7,2017,13,192,0,0.1
2017-01-28,Alaska,80,105,86,0,0,2017,13,192,0,0
2017-02-04,Alaska,87,104,85,0,2,2017,13,192,0,0
2017-02-11,Alaska,63,104,85,0,0,2017,13,192,0,0
2017-02-18,Alaska,80,101,82,0,0,2017,13,192,0,0
2017-02-25,Alaska,73,102,83,0,0,2017,13,192,0,0
2017-03-04,Alaska,66,102,83,0,0,2017,13,192,0,0
2017-03-11,Alaska,74,103,84,0,0,2017,13,192,0,0
2017-03-18,Alaska,84,104,85,0,0,2017,13,192,0,0
2017-03-25,Alaska,92,104,85,0,7,2017,13,192,0,0.1
2017-04-01,Alaska,89,105,86,0,3,2017,13,192,0,0
2017-04-08,Alaska,78,105,85,0,0,2017,13,192,0,0
2017-04-15,Alaska,88,103,83,0,5,2017,13,192,0,0.1
2017-04-22,Alaska,58,100,81,0,0,2017,13,192,0,0
2017-04-29,Alaska,80,102,83,0,0,2017,13,192,0,0
2017-05-06,Alaska,73,102,83,0,0,2017,13,192,0,0
2017-05-13,Alaska,77,103,84,0,0,2017,13,192,0,0
2017-05-20,Alaska,68,105,86,0,0,2017,13,192,0,0
2017-05-27,Alaska,76,107,87,0,0,2017,13,192,0,0
2017-06-03,Alaska,77,105,86,0,0,2017,13,192,0,0
2017-06-10,Alaska,84,104,84,0,0,2017,13,192,0,0
2017-06-17,Alaska,90,108,88,0,2,2017,13,192,0,0
2017-06-24,Alaska,81,107,87,0,0,2017,13,192,0,0
2017-07-01,Alaska,79,108,88,0,0,2017,13,192,0,0
2017-07-08,Alaska,82,110,90,0,0,2017,13,192,0,0
2017-07-15,Alaska,70,111,90,0,0,2017,13,192,0,0
2017-07-22,Alaska,81,108,88,0,0,2017,13,192,0,0
2017-07-29,Alaska,79,107,86,0,0,2017,13,192,0,0
2017-08-05,Alaska,64,104,84,0,0,2017,13,192,0,0
2017-08-12,Alaska,68,103,84,0,0,2017,13,192,0,0
2017-08-19,Alaska,89,102,83,0,6,2017,13,192,0,0.1
2017-08-26,Alaska,89,104,84,0,5,2017,13,192,0,0.1
2017-09-02,Alaska,77,107,87,0,0,2017,13,192,0,0
2017-09-09,Alaska,86,106,86,0,0,2017,13,192,0,0
2017-09-16,Alaska,83,105,85,0,0,2017,13,192,0,0
2017-09-23,Alaska,89,106,86,0,3,2017,13,192,0,0
2017-09-30,Alaska,115,108,87,7,28,2017,13,192,0.1,0.3
2017-10-07,Alaska,78,108,87,0,0,2017,13,192,0,0
2017-10-14,Alaska,79,110,89,0,0,2017,13,192,0,0
2017-10-21,Alaska,79,110,89,0,0,2017,13,192,0,0
2017-10-28,Alaska,96,110,90,0,6,2017,13,192,0,0.1
2017-11-04,Alaska,64,109,88,0,0,2017,13,192,0,0
2017-11-11,Alaska,71,107,87,0,0,2017,13,192,0,0
2017-11-18,Alaska,81,106,86,0,0,2017,13,192,0,0
2017-11-25,Alaska,75,107,87,0,0,2017,13,192,0,0
2017-12-02,Alaska,94,106,86,0,8,2017,13,192,0,0.1
2017-12-09,Alaska,76,106,86,0,0,2017,13,192,0,0
2017-12-16,Alaska,96,108,87,0,9,2017,13,192,0,0.1
2017-12-23,Alaska,90,109,89,0,1,2017,13,192,0,0
2017-12-30,Alaska,86,109,89,0,0,2017,13,192,0,0
2018-01-06,Alaska,72,111,91,0,0,2018,13,192,0,0
2018-01-13,Alaska,100,112,92,0,8,2018,13,192,0,0.1
2018-01-20,Alaska,95,110,90,0,5,2018,13,192,0,0.1
2018-01-27,Alaska,79,108,87,0,0,2018,13,192,0,0
2018-02-03,Alaska,82,106,86,0,0,2018,13,192,0,0
2018-02-10,Alaska,65,103,83,0,0,2018,13,192,0,0
2018-02-17,Alaska,83,100,81,0,2,2018,13,192,0,0
2018-02-24,Alaska,94,99,80,0,14,2018,13,192,0,0.2
2018-03-03,Alaska,91,99,79,0,12,2018,13,192,0,0.1
2018-03-10,Alaska,90,98,79,0,11,2018,13,192,0,0.1
2018-03-17,Alaska,69,101,82,0,0,2018,13,192,0,0
2018-03-24,Alaska,76,101,82,0,0,2018,13,192,0,0
2018-03-31,Alaska,78,102,83,0,0,2018,13,192,0,0
2018-04-07,Alaska,92,100,81,0,11,2018,13,192,0,0.1
2018-04-14,Alaska,90,99,80,0,10,2018,13,192,0,0.1
2018-04-21,Alaska,98,97,78,1,20,2018,13,192,0,0.3
2018-04-28,Alaska,77,97,78,0,0,2018,13,192,0,0
2018-05-05,Alaska,93,97,78,0,15,2018,13,192,0,0.2
2018-05-12,Alaska,71,97,78,0,0,2018,13,192,0,0
2018-05-19,Alaska,72,99,79,0,0,2018,13,192,0,0
2018-05-26,Alaska,73,99,80,0,0,2018,13,192,0,0
2018-06-02,Alaska,63,100,81,0,0,2018,13,192,0,0
2018-06-09,Alaska,78,97,78,0,0,2018,13,192,0,0
2018-06-16,Alaska,82,103,83,0,0,2018,13,192,0,0
2018-06-23,Alaska,78,102,83,0,0,2018,13,192,0,0
2018-06-30,Alaska,66,102,82,0,0,2018,13,192,0,0
2018-07-07,Alaska,88,102,82,0,6,2018,13,192,0,0.1
2018-07-14,Alaska,104,104,85,0,19,2018,13,192,0,0.2
2018-07-21,Alaska,71,101,82,0,0,2018,13,192,0,0
2018-07-28,Alaska,77,99,80,0,0,2018,13,192,0,0
2018-08-04,Alaska,89,96,78,0,11,2018,13,192,0,0.1
2018-08-11,Alaska,82,97,78,0,4,2018,13,192,0,0.1
2018-08-18,Alaska,89,95,76,0,13,2018,13,192,0,0.2
2018-08-25,Alaska,92,96,77,0,15,2018,13,192,0,0.2
2018-09-01,Alaska,80,100,81,0,0,2018,13,192,0,0
2018-09-08,Alaska,86,101,82,0,4,2018,13,192,0,0.1
2018-09-15,Alaska,65,101,81,0,0,2018,13,192,0,0
2018-09-22,Alaska,84,100,81,0,3,2018,13,192,0,0
2018-09-29,Alaska,81,101,82,0,0,2018,13,192,0,0
2018-10-06,Alaska,91,102,82,0,9,2018,13,192,0,0.1
2018-10-13,Alaska,84,103,84,0,0,2018,13,192,0,0
2018-10-20,Alaska,80,101,82,0,0,2018,13,192,0,0
2018-10-27,Alaska,89,101,82,0,7,2018,13,192,0,0.1
2018-11-03,Alaska,67,101,81,0,0,2018,13,192,0,0
2018-11-10,Alaska,92,97,78,0,14,2018,13,192,0,0.2
2018-11-17,Alaska,82,98,79,0,3,2018,13,192,0,0
2018-11-24,Alaska,94,101,82,0,12,2018,13,192,0,0.2
2018-12-01,Alaska,89,102,82,0,7,2018,13,192,0,0.1
2018-12-08,Alaska,75,105,85,0,0,2018,13,192,0,0
2018-12-15,Alaska,110,107,86,3,24,2018,13,192,0,0.3
2018-12-22,Alaska,95,107,87,0,8,2018,13,192,0,0.1
2018-12-29,Alaska,68,107,87,0,0,2018,13,192,0,0
2019-01-05,Alaska,93,108,87,0,6,2019,13,192,0,0.1
2019-01-12,Alaska,87,107,87,0,0,2019,13,192,0,0
2019-01-19,Alaska,94,109,88,0,6,2019,13,192,0,0.1
2019-01-26,Alaska,88,105,85,0,3,2019,13,192,0,0
2019-02-02,Alaska,99,105,85,0,14,2019,13,192,0,0.2
2019-02-09,Alaska,96,103,83,0,13,2019,13,192,0,0.2
2019-02-16,Alaska,99,103,82,0,17,2019,13,192,0,0.2
2019-02-23,Alaska,76,100,80,0,0,2019,13,192,0,0
2019-03-02,Alaska,94,102,81,0,13,2019,13,192,0,0.2
2019-03-09,Alaska,94,101,81,0,13,2019,13,192,0,0.2
2019-03-16,Alaska,100,103,82,0,18,2019,13,192,0,0.2
2019-03-23,Alaska,71,103,82,0,0,2019,13,192,0,0
2019-03-30,Alaska,90,103,82,0,8,2019,13,192,0,0.1
2019-04-06,Alaska,90,103,83,0,7,2019,13,192,0,0.1
2019-04-13,Alaska,81,102,81,0,0,2019,13,192,0,0
2019-04-20,Alaska,78,101,81,0,0,2019,13,192,0,0
2019-04-27,Alaska,79,102,81,0,0,2019,13,192,0,0
2019-05-04,Alaska,100,100,80,0,20,2019,13,192,0,0.3
2019-05-11,Alaska,86,99,78,0,8,2019,13,192,0,0.1
2019-05-18,Alaska,91,100,79,0,12,2019,13,192,0,0.2
2019-05-25,Alaska,82,100,79,0,3,2019,13,192,0,0
2019-06-01,Alaska,77,102,81,0,0,2019,13,192,0,0
2019-06-08,Alaska,93,101,80,0,13,2019,13,192,0,0.2
2019-06-15,Alaska,75,103,82,0,0,2019,13,192,0,0
2019-06-22,Alaska,97,104,83,0,14,2019,13,192,0,0.2
2019-06-29,Alaska,87,104,83,0,4,2019,13,192,0,0
2019-07-06,Alaska,81,103,82,0,0,2019,13,192,0,0
2019-07-13,Alaska,91,105,84,0,7,2019,13,192,0,0.1
2019-07-20,Alaska,74,105,83,0,0,2019,13,192,0,0
2019-07-27,Alaska,59,103,82,0,0,2019,13,192,0,0
2019-08-03,Alaska,74,100,79,0,0,2019,13,192,0,0
2019-08-10,Alaska,86,101,80,0,6,2019,13,192,0,0.1
2019-08-17,Alaska,94,101,80,0,14,2019,13,192,0,0.2
2019-08-24,Alaska,73,102,81,0,0,2019,13,192,0,0
2019-08-31,Alaska,82,104,83,0,0,2019,13,192,0,0
2019-09-07,Alaska,71,105,84,0,0,2019,13,192,0,0
2019-09-14,Alaska,91,104,83,0,8,2019,13,192,0,0.1
2019-09-21,Alaska,94,104,84,0,10,2019,13,192,0,0.1
2019-09-28,Alaska,82,106,84,0,0,2019,13,192,0,0
2019-10-05,Alaska,93,108,87,0,6,2019,13,192,0,0.1
2019-10-12,Alaska,91,109,88,0,3,2019,13,192,0,0
2019-10-19,Alaska,94,106,84,0,10,2019,13,192,0,0.1
2019-10-26,Alaska,67,105,84,0,0,2019,13,192,0,0
2019-11-02,Alaska,81,104,83,0,0,2019,13,192,0,0
2019-11-09,Alaska,89,102,82,0,7,2019,13,192,0,0.1
2019-11-16,Alaska,90,103,82,0,8,2019,13,192,0,0.1
2019-11-23,Alaska,92,107,85,0,7,2019,13,192,0,0.1
2019-11-30,Alaska,103,109,88,0,15,2019,13,192,0,0.2
2019-12-07,Alaska,93,111,89,0,4,2019,13,192,0,0
2019-12-14,Alaska,94,111,89,0,5,2019,13,192,0,0.1
2019-12-21,Alaska,84,113,91,0,0,2019,13,192,0,0
2019-12-28,Alaska,100,115,92,0,8,2019,13,192,0,0.1
2020-01-04,Alaska,89,114,92,0,0,2020,13,192,0,0
2020-01-11,Alaska,105,112,90,0,15,2020,13,192,0,0.2
2020-01-18,Alaska,99,115,93,0,6,2020,13,192,0,0.1
2020-01-25,Alaska,97,112,90,0,7,2020,13,192,0,0.1
2020-02-01,Alaska,85,111,89,0,0,2020,13,192,0,0
2020-02-08,Alaska,92,108,86,0,6,2020,13,192,0,0.1
2020-02-15,Alaska,89,108,86,0,3,2020,13,192,0,0
2020-02-22,Alaska,83,106,85,0,0,2020,13,192,0,0
2020-02-29,Alaska,84,109,87,0,0,2020,13,192,0,0
2020-03-07,Alaska,79,106,85,0,0,2020,13,192,0,0
2020-03-14,Alaska,92,107,85,0,7,2020,13,192,0,0.1
2020-03-21,Alaska,69,109,88,0,0,2020,13,192,0,0
2020-03-28,Alaska,85,108,87,0,0,2020,13,192,0,0
2020-04-04,Alaska,98,110,89,0,9,2020,13,192,0,0.1
2020-04-11,Alaska,83,109,88,0,0,2020,13,192,0,0
2020-04-18,Alaska,80,110,89,0,0,2020,13,192,0,0
2020-04-25,Alaska,61,107,86,0,0,2020,13,192,0,0
2020-05-02,Alaska,86,107,85,0,1,2020,13,192,0,0
2020-05-09,Alaska,91,105,83,0,8,2020,13,192,0,0.1
2020-05-16,Alaska,85,103,82,0,3,2020,13,192,0,0
2020-05-23,Alaska,83,103,82,0,1,2020,13,192,0,0
2020-05-30,Alaska,100,106,84,0,16,2020,13,192,0,0.2
2020-06-06,Alaska,80,107,85,0,0,2020,13,192,0,0
2020-06-13,Alaska,90,105,84,0,6,2020,13,192,0,0.1
2020-06-20,Alaska,94,108,87,0,7,2020,13,192,0,0.1
2020-06-27,Alaska,91,110,89,0,2,2020,13,192,0,0
2020-07-04,Alaska,84,109,88,0,0,2020,13,192,0,0
2020-07-11,Alaska,102,106,85,0,17,2020,13,192,0,0.2
2020-07-18,Alaska,90,108,87,0,3,2020,13,192,0,0
2020-07-25,Alaska,91,107,86,0,5,2020,13,192,0,0.1
2020-08-01,Alaska,115,106,85,9,30,2020,13,192,0.1,0.4
